Player,Team,Team within selected timeframe,Main Position,Position,League,Age,Market value,Contract expires,On loan,Minutes played,Passing Att,Creativity Att,Crossing Att,Dribbling Att,Shooting Att,Defending Att,Winger Rating,Progressive passes per 90,"Accurate progressive passes, %",Passes per 90,"Accurate passes, %",Key passes per 90,xA per 90,Deep completions per 90,"Accurate crosses, %",Crosses per 90,"Successful dribbles, %",Dribbles per 90,Accelerations per 90,Non-penalty goals per 90,xG per 90,"Shots on target, %","Defensive duels won, %",Successful defensive actions per 90,Defensive duels per 90,"Aerial duels won, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90
T. Leigh,Bristol Rovers,Bristol Rovers,AMF,"AMF, DMF, LCMF",England League Two 2025-26,25.0,300000,30/06/2027,yes,751,72.1,58.18,65.59,66.95,89.44,46.78,76.57,6.95,72.41,34.03,65.85,0.6,0.13,0.84,34.62,3.12,75.0,1.44,0.0,0.48,0.18,50.0,55.56,5.63,4.31,38.46,4.67,0.72,0.24,0.0,1.32
J. Stevens,Oldham Athletic,Oldham Athletic,LW,"LW, LAMF",England League Two 2025-26,25.0,0,30/06/2027,no,1198,56.38,90.45,43.8,59.95,85.55,52.94,74.96,4.36,65.52,29.6,68.53,0.83,0.16,1.8,27.27,1.65,50.0,2.1,0.6,0.38,0.25,50.0,59.32,5.71,4.43,25.81,4.66,0.0,0.0,0.0,0.0
A. Lowry,Wycombe Wanderers,Wycombe Wanderers,LAMF,"LAMF, CF",England League One 2025-26,22.0,0,,no,675,91.93,48.41,59.86,68.59,54.31,38.47,74.73,7.87,79.66,33.2,77.91,0.13,0.04,2.0,41.67,1.6,65.22,3.07,0.13,0.13,0.28,33.33,46.51,5.2,5.73,15.79,2.53,0.13,0.0,0.0,0.4
B. Pointon,Bradford City,Bradford City,AMF,AMF,England League One 2025-26,22.0,0,30/06/2027,no,2460,59.86,56.74,73.71,69.75,83.88,54.23,72.92,4.24,69.83,26.3,74.13,0.66,0.11,0.73,40.91,3.22,75.0,1.46,0.15,0.33,0.37,36.36,63.48,4.94,4.21,22.43,3.91,0.0,0.0,0.0,1.1
C. Bramall,Luton Town,Luton Town,LW,"LW, LB, LAMF",England League One 2025-26,30.0,600000,,no,1836,79.15,45.07,72.04,82.35,31.06,53.77,72.63,6.86,78.57,32.4,71.86,0.44,0.08,0.83,23.36,5.25,63.51,3.63,0.83,0.1,0.06,31.58,60.22,5.49,4.56,45.21,3.58,0.59,0.39,37.5,0.34
G. Middleton,Doncaster Rovers,Doncaster Rovers,LAMF,"LAMF, LW, LWB",England League One 2025-26,26.0,450000,30/06/2027,no,1718,58.27,58.51,100.0,83.31,33.11,54.51,72.09,6.02,66.09,27.71,66.54,0.68,0.2,0.26,35.38,6.81,73.26,4.51,0.21,0.05,0.13,33.33,65.33,4.71,3.93,30.77,2.04,0.68,0.26,40.0,2.04
M. Garbett,Peterborough United,Peterborough United,RAMF,"RAMF, AMF, RCMF",England League One 2025-26,23.0,450000,30/06/2027,no,1941,80.36,51.43,56.78,72.81,38.26,55.51,72.06,5.47,78.81,31.44,78.47,0.46,0.13,0.83,34.78,2.13,62.12,3.06,0.51,0.14,0.1,30.95,58.62,5.56,5.38,24.49,2.27,0.32,0.14,66.67,0.7
K. Doyle,Reading,Reading,AMF,"AMF, RAMF",England League One 2025-26,20.0,0,31/05/2026,yes,2746,65.69,76.95,64.22,57.14,39.39,54.85,70.57,3.9,71.43,26.12,79.8,0.95,0.15,0.85,43.1,1.9,52.31,2.13,0.33,0.13,0.11,33.33,54.6,6.33,5.7,22.39,2.2,0.0,0.0,0.0,0.03
M. Pinnock,Bromley,Bromley,LW,"LW, LAMF, LWB",England League Two 2025-26,31.0,300000,,no,4200,53.42,96.66,95.35,55.03,21.14,46.08,70.43,7.09,70.69,25.67,59.77,0.94,0.35,0.77,41.47,5.53,45.99,2.94,0.3,0.02,0.07,26.32,60.61,4.69,3.54,29.2,2.42,2.25,0.13,0.0,2.98
J. Berry-McNally,Chesterfield,Chesterfield,LAMF,"LAMF, AMF",England League Two 2025-26,25.0,0,31/05/2026,yes,1628,75.39,67.88,55.03,76.75,63.22,15.6,69.92,6.3,76.32,33.39,70.2,0.72,0.15,0.94,21.21,3.65,62.96,4.48,0.33,0.28,0.26,25.0,44.0,3.87,2.76,34.15,2.27,0.66,0.22,25.0,1.77
