Player,Team,Team within selected timeframe,Main Position,Position,League,Age,Market value,Contract expires,On loan,Minutes played,Passing Att,Creativity Att,Crossing Att,Dribbling Att,Shooting Att,Defending Att,Winger Rating,Progressive passes per 90,"Accurate progressive passes, %",Passes per 90,"Accurate passes, %",Key passes per 90,xA per 90,Deep completions per 90,"Accurate crosses, %",Crosses per 90,"Successful dribbles, %",Dribbles per 90,Accelerations per 90,Non-penalty goals per 90,xG per 90,"Shots on target, %","Defensive duels won, %",Successful defensive actions per 90,Defensive duels per 90,"Aerial duels won, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90
D. Mitchell,Leyton Orient,Leyton Orient,RAMF,"RAMF, LB, AMF",England League One 2025-26,29.0,250000,30/06/2027,no,1462,70.77,46.8,30.66,63.06,25.74,68.23,59.93,7.2,61.54,32.87,68.73,0.37,0.1,0.98,10.81,2.28,57.14,2.15,0.43,0.06,0.05,30.77,65.75,7.02,4.49,27.14,4.31,0.06,0.0,0.0,1.05
K. Drummond,Oldham Athletic,Oldham Athletic,RW,"RW, RAMF, CF",England League Two 2025-26,25.0,0,30/06/2026,no,2465,41.16,42.07,60.04,59.06,77.6,83.16,59.81,3.14,67.44,19.57,70.52,0.29,0.07,1.1,46.43,1.02,50.0,2.26,0.51,0.26,0.26,56.1,67.63,7.92,6.32,28.57,3.58,0.04,0.04,0.0,0.0
B. Dack,Gillingham,Gillingham,AMF,"AMF, RCMF",England League Two 2025-26,32.0,1000000,30/06/2026,no,2548,64.74,42.26,40.73,53.57,59.85,65.85,59.79,5.4,67.97,28.68,72.29,0.21,0.15,0.85,29.03,1.09,63.16,0.67,0.0,0.21,0.22,38.6,63.23,6.32,5.47,42.86,2.23,1.02,0.18,20.0,2.01
J. Gibson,Doncaster Rovers,Doncaster Rovers,LW,"LW, LAMF, LWF",England League One 2025-26,28.0,300000,30/06/2026,no,1833,55.71,52.66,53.25,72.61,42.27,53.74,59.63,4.17,68.24,24.99,72.89,0.44,0.15,0.83,26.79,2.75,57.3,4.37,0.39,0.15,0.17,25.0,57.14,5.84,5.16,26.47,3.34,0.49,0.15,33.33,0.83
J. Benson,Rotherham United,Rotherham United,AMF,"AMF, LWF, LDMF",England League One 2025-26,26.0,250000,30/06/2026,no,1189,74.15,40.9,40.81,52.04,36.78,64.32,59.44,4.47,79.66,32.78,74.83,0.38,0.12,0.53,26.32,1.44,55.0,1.51,0.08,0.15,0.07,31.25,64.29,5.83,5.3,47.73,3.33,1.67,0.45,66.67,2.5
J. Hoilett,Swindon Town,Swindon Town,LW,"LW, LAMF, LWB",England League Two 2025-26,35.0,150000,31/05/2026,no,595,51.58,77.45,59.08,34.71,33.49,67.23,59.23,4.39,79.31,27.83,61.96,0.76,0.2,1.06,26.09,3.48,22.73,3.33,0.15,0.15,0.1,20.0,65.63,6.5,4.84,38.1,3.18,0.0,0.0,0.0,2.27
D. Jefferies,Lincoln City,Lincoln City,LAMF,"LAMF, LWB",England League One 2025-26,23.0,175000,30/06/2028,no,738,58.06,47.36,64.9,44.14,79.4,49.75,59.05,3.17,73.08,24.76,76.85,0.49,0.16,0.37,46.15,1.59,42.86,0.85,0.37,0.24,0.22,70.0,46.81,7.56,5.73,34.62,3.17,0.0,0.0,0.0,0.0
S. McWilliams,Rotherham United,Rotherham United,AMF,"AMF, RCMF",England League One 2025-26,27.0,225000,30/06/2026,no,1825,62.58,41.19,32.74,62.06,31.99,83.63,58.94,4.24,67.44,28.65,74.53,0.44,0.06,0.74,21.74,1.13,70.0,0.49,0.2,0.1,0.08,30.0,62.84,8.53,7.3,34.62,5.13,0.05,0.0,0.0,0.05
R. Cole,Exeter City,Exeter City,AMF,"AMF, RWF, CF",England League One 2025-26,28.0,225000,30/06/2026,no,1840,68.57,44.99,64.8,55.01,56.64,35.4,58.83,5.87,64.17,32.53,70.83,0.34,0.14,0.73,40.43,2.3,58.62,1.42,0.1,0.24,0.15,38.46,47.52,4.99,4.94,32.43,1.81,0.68,0.1,50.0,1.96
T. Archibald,Leyton Orient,Leyton Orient,RAMF,"RAMF, RWB, LWB",England League One 2025-26,28.0,300000,30/06/2026,no,1631,52.38,39.88,70.54,73.62,37.91,63.3,58.49,6.62,62.5,27.09,61.51,0.44,0.09,0.5,29.11,4.36,60.0,3.03,0.66,0.11,0.1,36.0,54.87,7.56,6.24,29.11,4.36,0.83,0.06,0.0,1.05
J. Davies,Fleetwood Town,Fleetwood Town,AMF,"AMF, LCMF",England League Two 2025-26,27.0,150000,30/06/2026,no,679,54.56,42.62,39.64,53.23,87.28,63.2,58.45,6.1,80.43,28.5,57.67,0.4,0.08,0.8,23.08,1.72,52.63,2.52,0.0,0.4,0.34,34.48,60.47,6.36,5.7,43.18,5.83,1.06,0.66,40.0,1.06
J. Aitchison,Exeter City,Exeter City,AMF,"AMF, RCMF, LW",England League One 2025-26,26.0,300000,30/06/2026,no,2602,71.74,43.71,47.85,60.54,23.68,55.78,58.14,4.32,72.8,28.36,80.49,0.48,0.08,0.66,34.29,1.21,53.7,1.87,0.52,0.03,0.1,24.24,55.87,5.67,6.19,12.2,1.42,0.0,0.0,0.0,0.03
L. Thomas,Bristol Rovers,Bristol Rovers,LWF,"LWF, AMF, RW",England League Two 2025-26,27.0,500000,30/06/2026,no,1889,47.01,52.65,52.09,55.52,35.28,86.38,57.79,4.48,62.77,25.73,65.56,0.43,0.1,1.14,24.19,2.95,57.14,2.0,0.05,0.1,0.11,31.25,69.18,7.53,6.96,21.74,2.19,0.1,0.0,0.0,0.29
M. Jacobs,Northampton Town,Northampton Town,LW,"LW, LWF, LAMF",England League One 2025-26,34.0,0,30/06/2026,no,521,52.7,69.29,63.29,50.59,22.83,58.2,57.7,3.11,61.11,26.78,74.19,0.69,0.19,0.86,30.0,3.45,50.0,2.42,0.0,0.0,0.12,25.0,52.38,6.22,7.26,40.0,6.05,0.35,0.0,0.0,1.73
E. Archer,Port Vale,Cheltenham Town,LWF,"LWF, LAMF, LWB",England League Two 2025-26,23.0,0,30/06/2026,yes,2040,56.96,34.85,72.79,62.23,23.71,76.01,57.43,4.94,60.71,27.22,71.31,0.35,0.1,0.4,37.97,3.49,47.01,5.16,0.09,0.09,0.07,17.86,59.35,8.38,6.84,27.27,2.91,0.0,0.0,0.0,0.22
J. Martin,Cheltenham Town,Cheltenham Town,RWF,"RWF, LW, AMF",England League Two 2025-26,24.0,300000,30/06/2026,no,742,66.92,14.95,56.0,55.04,89.56,55.41,57.01,3.52,75.86,26.2,80.56,0.0,0.01,0.73,38.46,1.58,46.15,3.15,0.24,0.49,0.11,60.0,60.98,5.22,4.97,22.22,2.18,0.73,0.36,33.33,0.85
P. Glatzel,Swindon Town,Swindon Town,AMF,"AMF, RWF, RW",England League Two 2025-26,25.0,275000,30/06/2027,no,1309,53.99,54.24,47.75,54.72,47.99,62.12,56.93,3.71,66.67,23.51,75.15,0.48,0.1,1.1,31.82,1.51,53.13,2.2,0.14,0.14,0.24,26.09,62.86,6.26,4.81,27.59,3.99,0.0,0.0,0.0,0.0
J. Thomas,Cheltenham Town,Cheltenham Town,RW,"RW, RWF",England League Two 2025-26,24.0,0,,no,2904,45.4,45.45,49.5,67.85,41.92,80.48,56.86,4.28,65.22,23.43,66.67,0.37,0.14,0.68,27.4,2.26,48.55,5.36,0.28,0.15,0.15,27.66,61.82,8.62,6.82,39.9,5.98,0.59,0.06,50.0,0.43
J. Diamond,Stockport County,Stockport County,AMF,"AMF, RWB",England League One 2025-26,26.0,350000,30/06/2027,no,3215,45.38,50.42,61.7,77.44,48.02,51.53,56.72,2.74,60.2,23.01,73.84,0.56,0.13,0.53,35.11,2.63,52.94,4.76,0.76,0.17,0.16,33.77,63.09,4.51,4.17,42.42,1.85,0.03,0.0,0.0,0.17
K. Dixon,Crawley Town,Crawley Town,AMF,"AMF, RCMF, CF",England League Two 2025-26,21.0,0,30/06/2028,yes,737,61.47,52.85,40.99,55.18,29.86,64.23,56.7,3.91,68.75,26.13,77.1,0.37,0.07,1.47,27.27,1.34,46.15,3.18,0.24,0.0,0.1,41.67,58.7,7.2,5.62,29.73,4.52,0.0,0.0,0.0,0.0
S. Duke-McKenna,Harrogate Town,Harrogate Town,RAMF,"RAMF, LAMF",England League Two 2025-26,25.0,150000,30/06/2026,no,1768,51.17,43.05,61.01,70.71,51.43,53.86,56.5,5.4,68.87,25.1,64.71,0.46,0.1,0.56,27.14,3.56,50.41,6.16,0.15,0.25,0.1,35.0,60.0,5.8,4.33,19.4,3.41,1.02,0.15,0.0,1.99
W. Alves,Huddersfield Town,Huddersfield Town,AMF,"AMF, LAMF, LWF",England League One 2025-26,20.0,0,30/06/2028,yes,498,60.91,22.51,61.48,89.49,54.94,40.19,56.47,3.07,76.47,24.94,78.26,0.0,0.05,0.9,35.71,2.53,66.67,4.34,0.9,0.18,0.13,50.0,53.85,4.34,4.7,16.67,2.17,0.0,0.0,0.0,0.0
J. Richards,Luton Town,Luton Town,RW,"RW, RAMF, AMF",England League One 2025-26,18.0,0,,no,1259,54.06,55.85,47.48,25.81,60.78,78.41,56.43,3.72,65.38,22.16,77.1,0.64,0.1,0.79,33.33,1.29,23.81,1.5,0.07,0.36,0.06,38.46,75.38,6.15,4.65,17.5,2.86,0.0,0.0,0.0,0.07
J. McAtee,Bolton Wanderers,Bolton Wanderers,AMF,"AMF, CF",England League One 2025-26,26.0,300000,30/06/2027,no,896,45.15,58.43,43.33,56.93,72.31,55.55,56.13,4.12,60.98,23.81,67.93,0.5,0.13,1.1,20.83,2.41,57.14,2.11,0.1,0.2,0.38,37.5,65.12,4.62,4.32,38.46,2.61,0.1,0.1,100.0,0.2
E. Taylor,Harrogate Town,Harrogate Town,RAMF,"RAMF, RW, AMF",England League Two 2025-26,22.0,200000,30/06/2027,no,2176,54.05,41.57,50.14,72.86,43.78,58.77,56.13,4.84,67.52,26.76,67.54,0.45,0.11,0.45,21.62,3.06,58.56,4.59,0.29,0.12,0.2,28.57,59.46,6.78,4.59,38.4,5.17,0.99,0.17,25.0,1.7
H. Anderson,Colchester United,Colchester United,LAMF,"LAMF, RAMF, LW",England League Two 2025-26,29.0,225000,30/06/2026,no,2423,46.88,42.68,50.84,50.33,75.5,71.08,55.76,3.94,66.98,20.5,71.74,0.37,0.09,0.82,37.93,1.08,48.0,1.86,0.22,0.33,0.22,45.45,63.41,6.8,6.09,40.31,4.79,0.0,0.0,0.0,0.0
H. Adelakun,Doncaster Rovers,Cheltenham Town,LW,"LW, CF, LWF",England League Two 2025-26,29.0,175000,30/06/2027,no,713,57.11,53.29,44.06,63.6,80.28,24.11,55.65,5.81,69.57,24.36,68.91,0.38,0.04,1.64,23.53,2.15,63.64,2.78,0.0,0.38,0.29,33.33,46.67,3.91,3.79,18.18,1.39,0.0,0.0,0.0,0.13
J. Morgan,Peterborough United,Peterborough United,AMF,"AMF, CF",England League One 2025-26,20.0,0,30/06/2027,yes,2342,51.65,42.55,20.91,65.12,94.45,50.74,54.88,3.61,59.57,23.44,75.9,0.42,0.09,0.69,13.64,0.85,69.23,1.5,0.15,0.46,0.36,33.33,56.25,5.69,4.92,20.0,2.11,0.08,0.08,50.0,0.0
B. Knight,Cambridge United,Cambridge United,AMF,"AMF, RAMF",England League Two 2025-26,23.0,200000,30/06/2028,no,2189,59.99,45.09,33.11,66.8,71.94,35.38,54.75,3.29,65.0,27.59,77.5,0.29,0.11,1.03,22.22,1.11,54.24,2.43,0.7,0.25,0.33,35.59,54.32,4.48,3.33,22.58,3.82,0.41,0.12,0.0,0.62
O. O'Neill,Leyton Orient,Leyton Orient,LAMF,"LAMF, AMF",England League One 2025-26,23.0,600000,30/06/2028,no,2640,50.0,40.73,40.51,69.79,51.43,66.61,54.67,3.38,73.74,24.2,69.86,0.38,0.08,0.75,24.0,1.7,62.5,3.0,0.34,0.14,0.16,45.95,61.94,7.06,5.28,25.35,7.4,0.27,0.0,0.0,1.3
S. Kaikai,Cambridge United,Cambridge United,AMF,"AMF, LAMF",England League Two 2025-26,30.0,250000,30/06/2027,no,2907,45.42,65.29,48.22,58.61,59.96,43.11,54.61,2.94,61.05,23.81,72.04,0.53,0.21,0.93,26.76,2.2,47.24,3.93,0.19,0.28,0.21,27.14,58.26,4.74,3.56,22.62,2.6,1.18,0.06,50.0,3.07
A. Sarcevic,Bradford City,Bradford City,AMF,AMF,England League One 2025-26,34.0,125000,30/06/2026,no,2964,54.55,44.84,43.24,50.98,65.45,57.55,54.14,3.77,73.39,27.51,68.76,0.46,0.05,0.94,23.53,2.06,51.02,1.49,0.21,0.24,0.23,41.86,60.53,6.16,4.62,33.79,6.65,0.0,0.0,0.0,0.06
J. Mullins,Wycombe Wanderers,Wycombe Wanderers,AMF,"AMF, RCMF, RDMF",England League One 2025-26,21.0,0,,no,2017,59.32,64.06,31.43,40.04,47.04,52.66,53.93,4.37,69.39,25.26,74.56,0.49,0.16,1.25,23.53,0.76,37.25,2.28,0.04,0.13,0.14,42.86,62.24,4.82,4.37,29.79,2.1,0.04,0.0,0.0,0.22
G. Holohan,Crawley Town,Crawley Town,AMF,"AMF, RCMF",England League Two 2025-26,34.0,100000,30/06/2026,no,864,92.14,27.66,55.66,49.92,9.03,32.55,53.35,7.08,67.65,40.83,76.02,0.31,0.03,0.52,33.33,2.19,50.0,1.88,0.1,0.0,0.07,7.14,44.19,5.83,4.48,53.19,4.9,0.0,0.0,0.0,0.21
G. Kodua,Luton Town,Luton Town,LW,"LW, RWB, RAMF",England League One 2025-26,21.0,0,30/06/2026,yes,2307,47.12,36.88,52.52,56.4,71.25,62.2,52.79,3.94,71.29,20.52,70.53,0.23,0.09,0.86,30.91,2.15,43.93,4.17,0.16,0.31,0.21,42.86,64.41,6.01,4.6,21.9,4.1,0.0,0.0,0.0,0.04
S. Whalley,Accrington Stanley,Accrington Stanley,AMF,"AMF, CF",England League Two 2025-26,38.0,50000,30/06/2026,no,2694,56.65,51.3,54.31,58.31,33.22,45.11,52.53,4.34,69.23,27.49,69.99,0.33,0.22,0.63,32.31,2.17,50.48,3.51,0.13,0.1,0.13,24.0,59.65,4.51,3.81,21.43,4.21,2.31,0.2,33.33,2.61
C. Grant,Notts County,Notts County,AMF,AMF,England League Two 2025-26,24.0,225000,30/06/2027,no,2312,61.43,34.63,36.11,47.37,48.04,70.71,52.46,3.97,56.86,29.58,76.84,0.27,0.08,0.7,25.0,1.09,51.52,1.28,0.04,0.12,0.21,35.0,64.67,6.58,5.84,20.56,4.17,0.08,0.0,0.0,0.23
B. Ilunga,Bromley,Bromley,RW,"RW, RAMF, LW",England League Two 2025-26,22.0,0,,no,572,30.16,52.66,79.67,77.01,13.67,73.34,52.43,3.93,76.0,15.26,60.82,0.47,0.2,0.47,41.67,3.78,51.16,6.77,0.31,0.0,0.08,14.29,67.57,6.29,5.82,29.63,4.25,0.0,0.0,0.0,0.0
S. Morris,Luton Town,Luton Town,RW,"RW, RAMF",England League One 2025-26,24.0,125000,31/05/2026,no,1072,39.05,19.85,72.6,85.99,57.95,64.83,52.26,2.77,63.64,23.09,67.27,0.17,0.05,0.34,30.19,4.45,65.28,6.04,0.34,0.25,0.17,35.71,62.3,6.72,5.12,25.0,2.69,0.0,0.0,0.0,0.0
B. Wiles,Milton Keynes Dons,Huddersfield Town,AMF,"AMF, RW",England League One 2025-26,26.0,2200000,30/06/2026,no,1402,76.9,31.2,29.2,59.93,45.54,36.87,52.16,4.37,79.41,29.08,81.68,0.26,0.03,0.83,20.0,0.96,51.72,1.86,0.58,0.19,0.15,26.92,62.16,3.34,2.38,25.58,2.76,0.19,0.13,0.0,0.06
N. Moriah-Welsh,Mansfield Town,Mansfield Town,RAMF,"RAMF, AMF",England League One 2025-26,24.0,300000,31/05/2027,no,2057,55.39,57.37,57.03,45.97,17.18,57.3,51.65,4.68,75.7,24.11,69.51,0.53,0.2,0.57,29.69,2.8,42.5,1.75,0.26,0.04,0.07,15.0,54.23,6.48,6.21,25.0,1.75,0.13,0.0,0.0,1.93
J. Earing,Barrow,Barrow,AMF,"AMF, LCMF, RCMF",England League Two 2025-26,27.0,100000,30/06/2026,no,1884,64.29,29.4,60.21,55.57,27.66,57.14,51.42,4.49,59.57,27.95,78.46,0.24,0.05,0.67,43.33,1.43,52.5,1.91,0.29,0.05,0.11,26.32,65.17,5.02,4.25,40.7,4.11,0.0,0.0,0.0,0.1
B. Lloyd,Newport County,Newport County,AMF,"AMF, RW, RAMF",England League Two 2025-26,21.0,0,30/06/2027,yes,1950,52.12,34.12,56.47,62.02,25.85,72.37,51.4,5.17,55.36,26.68,68.86,0.32,0.08,0.55,37.84,1.71,60.34,2.68,0.09,0.05,0.12,21.21,54.82,8.17,7.66,30.0,2.31,0.32,0.05,0.0,0.74
D. Frith,Peterborough United,Peterborough United,RAMF,"RAMF, RW, LAMF",England League One 2025-26,23.0,0,30/06/2028,no,1081,39.2,71.1,54.56,63.75,44.91,34.67,51.12,3.5,61.9,23.15,65.47,0.75,0.2,0.75,20.0,3.75,47.54,5.08,0.17,0.08,0.15,46.67,44.44,4.75,5.99,13.04,1.91,0.08,0.0,0.0,0.92
C. Whitaker,Tranmere Rovers,Tranmere Rovers,AMF,AMF,England League Two 2025-26,22.0,0,30/06/2027,no,2858,44.52,44.8,35.18,67.55,72.08,49.85,51.07,3.37,68.22,22.93,68.54,0.38,0.1,0.85,23.08,1.23,51.13,4.19,0.44,0.31,0.24,39.44,61.11,4.94,3.97,35.2,5.64,0.44,0.35,63.64,0.19
M. Ritchie,Reading,Reading,RAMF,RAMF,England League One 2025-26,36.0,1000000,30/06/2027,no,969,64.72,55.96,75.13,41.33,28.35,23.19,51.03,5.57,56.67,30.56,73.25,0.46,0.17,0.84,50.0,2.23,38.89,1.67,0.19,0.09,0.05,30.0,44.19,4.27,3.99,18.18,2.04,0.19,0.09,0.0,0.19
P. Patterson,Stevenage,Stevenage,LAMF,"LAMF, LW",England League One 2025-26,25.0,200000,,no,1261,43.85,41.91,82.05,77.18,29.85,40.95,50.72,3.57,64.0,20.48,71.43,0.36,0.18,0.29,35.82,4.78,54.12,6.07,0.36,0.07,0.07,33.33,56.52,5.07,3.28,25.0,1.43,0.71,0.07,0.0,1.64
C. Wright,Wigan Athletic,Wigan Athletic,AMF,"AMF, LCMF",England League One 2025-26,25.0,700000,30/06/2026,yes,3149,58.33,32.31,52.37,54.81,51.27,52.03,50.56,3.74,65.65,26.24,75.93,0.26,0.07,0.66,35.85,1.51,53.52,2.03,0.17,0.14,0.18,42.31,52.28,6.49,5.63,41.51,4.54,0.0,0.0,0.0,0.09
R. Darcy,Crawley Town,Crawley Town,AMF,AMF,England League Two 2025-26,25.0,400000,30/06/2027,yes,2469,77.85,37.68,33.26,52.13,44.78,25.21,50.46,3.35,73.91,32.11,84.22,0.22,0.1,0.87,21.88,1.17,48.0,1.82,0.33,0.11,0.18,35.71,52.44,3.17,2.99,0.0,0.58,1.13,0.04,0.0,1.57
J. Moorhouse,Manchester United U21,Leyton Orient,AMF,"AMF, LDMF, RDMF",England League One 2025-26,20.0,0,31/05/2026,no,990,81.78,34.1,0.0,56.42,18.56,57.39,50.44,3.18,85.71,30.91,85.59,0.36,0.08,0.45,0.0,0.27,45.45,2.0,0.64,0.0,0.05,28.57,64.44,5.45,4.09,21.43,2.55,0.0,0.0,0.0,0.0
B. House,Lincoln City,Lincoln City,LAMF,"LAMF, AMF, LW",England League One 2025-26,26.0,250000,30/06/2028,no,1962,36.4,41.61,31.2,41.18,65.35,100.0,50.09,2.71,55.93,17.39,74.14,0.32,0.1,0.83,25.0,0.55,43.33,1.38,0.05,0.18,0.24,51.43,56.03,10.92,10.64,30.91,5.05,0.0,0.0,0.0,0.0
L. Harris,Wycombe Wanderers,Wycombe Wanderers,LAMF,"LAMF, AMF, CF",England League One 2025-26,21.0,1000000,30/06/2026,yes,1327,50.93,42.19,37.75,42.87,67.88,62.11,50.01,3.12,52.17,25.57,76.92,0.41,0.07,0.81,23.81,1.42,46.15,0.88,0.14,0.14,0.31,52.17,56.32,7.19,5.9,29.82,3.87,0.0,0.0,0.0,0.14
E. Archer,Port Vale,Port Vale,AMF,"AMF, LAMF, LCMF",England League One 2025-26,23.0,0,30/06/2026,yes,862,36.05,60.56,50.37,61.59,29.35,64.07,49.55,4.39,47.62,24.85,62.61,0.52,0.26,0.42,17.14,3.65,60.0,2.61,0.1,0.1,0.11,20.0,63.27,6.26,5.12,44.83,3.03,0.73,0.1,100.0,3.86
C. Hamilton,Blackpool,Blackpool,LW,"LW, RWB, LWB",England League One 2025-26,31.0,500000,30/06/2026,no,2475,34.3,42.24,46.76,67.4,45.62,77.7,49.53,4.33,49.58,20.44,65.66,0.36,0.12,0.65,21.05,2.76,66.67,2.07,0.25,0.11,0.15,42.31,64.5,7.85,6.15,38.2,3.24,0.0,0.0,0.0,0.0
A. Henderson,Accrington Stanley,Accrington Stanley,AMF,"AMF, LCMF",England League Two 2025-26,21.0,0,30/06/2027,no,1465,50.86,26.93,56.71,51.57,58.7,63.17,48.95,5.41,59.09,28.94,63.27,0.31,0.06,0.31,40.91,1.35,56.0,1.54,0.0,0.18,0.13,57.14,58.7,6.94,5.65,35.38,7.99,0.18,0.18,66.67,0.18
Carlos Gomes,Exeter City,Exeter City,LAMF,"LAMF, AMF, CF",England League One 2025-26,27.0,300000,30/06/2026,yes,783,45.44,50.7,28.6,56.87,47.04,63.48,48.94,3.56,67.74,22.07,69.79,0.57,0.06,0.92,12.5,1.84,54.55,2.53,0.11,0.11,0.26,26.67,57.38,6.09,7.01,25.0,4.14,0.0,0.0,0.0,0.0
A. Martha,Rotherham United,Rotherham United,RWF,"RWF, RAMF, AMF",England League One 2025-26,22.0,1200000,,no,2518,50.23,42.73,60.96,60.12,25.67,53.72,48.88,3.29,69.57,22.63,73.46,0.36,0.1,0.79,36.92,2.32,53.01,2.97,0.25,0.04,0.09,27.78,52.27,6.22,6.29,27.16,2.9,0.07,0.0,0.0,0.68
D. O'Brien-Brady,Peterborough United,Peterborough United,AMF,"AMF, LDMF, LCMF",England League One 2025-26,22.0,0,,no,751,78.59,21.36,29.36,55.68,19.44,54.58,48.73,5.51,65.22,33.32,79.14,0.12,0.04,0.6,15.38,1.56,56.25,1.92,0.12,0.0,0.06,28.57,60.0,5.51,4.79,31.82,2.64,0.12,0.0,0.0,0.12
O. Irow,Mansfield Town,Mansfield Town,LAMF,"LAMF, CF, LW",England League One 2025-26,19.0,0,30/06/2028,yes,592,42.74,38.26,60.66,58.72,71.37,45.21,48.73,3.65,70.83,16.88,72.07,0.3,0.09,0.76,33.33,2.74,46.43,4.26,0.15,0.3,0.18,50.0,65.0,3.65,3.04,8.33,1.82,0.0,0.0,0.0,1.06
T. Fornah,Northampton Town,Northampton Town,LWF,"LWF, AMF, LW",England League One 2025-26,26.0,500000,30/06/2028,no,2240,49.92,47.3,77.91,68.07,15.81,34.0,48.49,3.05,76.32,20.53,74.17,0.56,0.11,0.48,39.18,3.9,50.93,4.34,0.44,0.0,0.04,25.0,56.0,3.98,3.01,23.19,2.77,0.0,0.0,0.0,0.04
S. Bell,Bristol City,Wycombe Wanderers,LAMF,"LAMF, CF, LW",England League One 2025-26,23.0,1200000,30/06/2026,no,1530,40.56,45.28,46.73,65.72,78.54,36.31,48.38,2.41,73.17,18.53,71.75,0.47,0.09,0.71,30.77,1.53,55.77,3.06,0.41,0.35,0.26,40.74,61.76,3.71,2.0,28.57,3.71,0.0,0.0,0.0,0.0
E. Hansson,Excelsior,Blackpool,LW,"LW, LCMF",England League One 2025-26,27.0,1500000,30/06/2026,no,611,49.05,46.46,64.48,68.88,0.0,54.56,48.23,4.27,48.28,25.78,72.57,0.59,0.07,0.59,35.0,2.95,56.25,2.36,0.74,0.0,0.01,0.0,71.43,3.68,3.09,16.67,0.88,0.88,0.0,0.0,0.88
K. Lisbie,Colchester United,Colchester United,RAMF,RAMF,England League Two 2025-26,22.0,0,30/06/2027,no,2964,21.69,42.42,54.92,75.44,90.25,53.27,47.98,2.64,62.07,15.24,62.55,0.39,0.1,0.7,24.76,3.19,56.17,4.92,0.46,0.33,0.37,48.44,60.14,5.62,4.34,20.63,1.91,0.0,0.0,0.0,0.06
T. Hall,Notts County,Notts County,AMF,"AMF, LWF",England League Two 2025-26,20.0,0,30/06/2029,yes,1634,63.06,19.6,19.01,58.69,87.2,43.54,47.94,3.47,60.32,28.31,80.16,0.06,0.02,0.77,10.0,1.1,53.33,2.48,0.28,0.39,0.21,57.89,50.0,5.56,5.4,28.57,1.93,0.11,0.0,0.0,0.33
K. Lisbie,Peterborough United,Peterborough United,LAMF,"LAMF, LW, RAMF",England League One 2025-26,22.0,0,30/06/2028,no,2949,29.3,60.3,50.75,65.27,82.92,31.56,47.85,2.26,68.92,15.05,68.15,0.67,0.1,0.95,25.88,2.59,49.64,4.24,0.37,0.34,0.33,39.29,53.33,3.63,3.66,21.88,1.95,0.0,0.0,0.0,0.09
D. Phillips,Stevenage,Stevenage,AMF,"AMF, RCMF",England League One 2025-26,25.0,225000,30/06/2026,no,2149,66.54,13.89,64.26,48.32,13.72,72.7,47.77,3.02,73.61,26.93,81.8,0.08,0.02,0.42,54.55,0.46,55.56,0.75,0.04,0.04,0.05,11.76,60.69,8.0,6.07,34.52,3.52,0.0,0.0,0.0,0.0
C. Deeming,Cheltenham Town,Cheltenham Town,RW,"RW, AMF, LCMF",England League Two 2025-26,19.0,0,30/06/2027,yes,460,45.71,28.05,55.2,57.21,13.17,91.6,47.41,4.11,57.14,24.85,68.5,0.39,0.09,0.0,28.57,2.74,58.33,2.35,0.0,0.0,0.04,20.0,62.79,9.2,8.41,28.57,4.11,0.59,0.2,0.0,2.15
K. Whitmore,,Newport County,AMF,"AMF, LCMF",England League Two 2025-26,25.0,0,,no,1154,50.26,32.07,43.35,62.17,46.29,57.24,47.22,4.91,66.67,21.53,70.29,0.23,0.1,0.55,29.41,1.33,55.32,3.67,0.08,0.23,0.16,19.05,56.41,5.93,6.08,30.0,1.56,0.0,0.0,0.0,0.0
J. Randall,Blackpool,Blackpool,AMF,AMF,England League One 2025-26,26.0,600000,30/06/2028,yes,1146,58.64,26.59,56.93,53.29,43.3,47.19,46.62,2.83,72.22,24.27,79.29,0.08,0.06,0.86,41.18,1.34,53.33,1.18,0.31,0.08,0.2,35.29,60.38,4.4,4.16,10.34,2.28,0.0,0.0,0.0,0.0
L. Bolton,Mansfield Town,Mansfield Town,RAMF,"RAMF, AMF, RWB",England League One 2025-26,26.0,500000,30/06/2027,no,701,41.95,33.69,49.42,67.97,56.07,52.49,46.5,3.08,54.17,25.16,69.39,0.39,0.03,0.64,20.83,3.08,53.85,5.01,0.13,0.13,0.25,41.67,59.46,5.26,4.75,30.0,3.85,0.0,0.0,0.0,0.0
M. Mothersille,Stockport County,Stockport County,AMF,"AMF, LWF, LW",England League One 2025-26,22.0,250000,30/06/2028,no,1041,40.92,27.58,63.71,63.73,52.93,59.48,46.5,3.2,67.57,23.17,66.04,0.17,0.06,0.69,25.53,4.06,43.64,4.76,0.43,0.09,0.21,50.0,71.05,4.67,3.29,18.75,2.77,0.0,0.0,0.0,0.17
T. Roberts,Mansfield Town,Mansfield Town,AMF,"AMF, CF",England League One 2025-26,27.0,2800000,30/06/2026,no,741,61.04,31.6,40.99,65.26,77.6,10.09,46.26,3.28,70.37,27.81,76.42,0.36,0.05,0.49,27.27,1.34,63.64,2.67,0.12,0.24,0.43,31.58,40.74,3.16,3.28,22.22,3.28,0.0,0.0,0.0,0.0
