Player,Team,Team within selected timeframe,Main Position,Position,League,Age,Market value,Contract expires,On loan,Minutes played,Defending Att,Aerial Att,Pass Retention Att,Pass Progression Att,Discipline Att,CB Rating,"Defensive duels won, %",PAdj Interceptions,PAdj Sliding tackles,Successful defensive actions per 90,Shots blocked per 90,"Aerial duels won, %",Aerial duels per 90,"Accurate short / medium passes, %",Short / medium passes per 90,Received passes per 90,Progressive passes per 90,"Accurate progressive passes, %",Fouls per 90,Yellow cards per 90,Red cards per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90
C. Raglan,Barrow,Barrow,CB,"CB, RCB",England League Two 2025-26,32.0,0,30/06/2027,no,2946,43.68,74.03,52.68,60.44,73.14,69.98,71.26,7.19,0.24,9.35,0.73,66.67,8.07,86.05,24.53,16.44,7.61,64.66,0.7,0.12,0.0,0.0,0.0,0.0,0.0
C. McJannett,Grimsby Town,Grimsby Town,LCB,LCB,England League Two 2025-26,27.0,175000,30/06/2027,no,4125,42.67,61.19,71.62,76.73,81.99,69.52,74.65,7.92,0.16,7.99,0.37,60.69,7.55,89.87,37.46,28.41,10.89,66.13,0.48,0.11,0.0,0.02,0.0,0.0,0.0
M. Jobe,Cambridge United,Cambridge United,RCB,"RCB, CB",England League Two 2025-26,23.0,75000,30/06/2027,no,3096,45.03,67.53,60.3,60.71,75.05,69.26,72.84,7.73,0.32,8.55,0.52,55.19,10.64,86.41,32.09,22.06,8.2,62.77,0.67,0.06,0.03,0.0,0.0,0.0,0.0
G. Osho,Cardiff City,Cardiff City,RCB,"RCB, LCB",England League One 2025-26,27.0,3000000,30/06/2029,no,1354,43.75,61.52,79.88,54.87,76.96,68.52,69.01,7.05,0.48,7.44,1.13,67.95,5.18,93.02,40.95,31.57,6.71,63.37,0.4,0.13,0.07,0.0,0.0,0.0,0.0
W. Tamen,Tranmere Rovers,Tranmere Rovers,RCB,"RCB, CB",England League Two 2025-26,19.0,0,30/06/2027,yes,588,63.14,78.6,22.06,28.77,38.32,68.51,70.59,7.86,0.83,11.94,0.92,67.86,8.57,72.12,15.92,6.58,5.66,45.95,1.07,0.46,0.0,0.0,0.0,0.0,0.0
T. Akomeah,Gillingham,Gillingham,LCB,"LCB, RCB",England League Two 2025-26,20.0,0,30/06/2028,yes,788,53.23,72.01,41.03,48.98,57.29,68.12,79.63,7.5,0.0,9.94,0.69,58.89,10.28,80.1,23.53,11.88,7.65,55.22,1.14,0.11,0.0,0.0,0.0,0.0,0.0
E. Monthe,Oldham Athletic,Oldham Athletic,LCB,LCB,England League Two 2025-26,31.0,225000,30/06/2026,no,4207,57.71,57.01,36.29,50.79,77.23,67.91,83.33,7.66,0.12,9.56,0.49,62.77,6.03,79.35,19.06,9.8,7.0,59.02,0.64,0.09,0.0,0.04,0.0,0.0,0.0
T. Bradbury,Harrogate Town,Harrogate Town,LCB,LCB,England League Two 2025-26,27.0,100000,,no,780,35.84,82.24,55.61,42.38,73.51,67.44,80.43,5.4,0.0,8.19,0.12,68.35,9.12,89.06,22.15,16.04,6.0,55.77,0.69,0.12,0.0,0.0,0.0,0.0,0.0
E. Toal,Bolton Wanderers,Bolton Wanderers,RCB,RCB,England League One 2025-26,27.0,800000,30/06/2027,no,3156,38.35,52.62,92.71,71.95,91.04,67.32,71.62,7.71,0.14,7.87,0.48,54.71,7.87,94.47,51.07,41.63,8.16,72.03,0.37,0.03,0.0,0.0,0.0,0.0,0.0
D. Tharme,Grimsby Town,Grimsby Town,RCB,RCB,England League Two 2025-26,26.0,175000,30/06/2028,no,1047,39.26,68.82,60.14,69.44,78.73,67.3,66.67,9.79,0.16,8.51,0.26,65.88,7.31,84.65,34.73,24.07,11.69,57.35,0.6,0.09,0.0,0.0,0.0,0.0,0.0
M. Roberts,Barnsley,Barnsley,RCB,RCB,England League One 2025-26,35.0,250000,30/06/2026,no,819,35.82,85.18,69.67,52.76,53.45,67.0,65.79,7.11,0.47,8.02,0.66,72.37,8.35,90.31,35.16,25.71,7.8,57.75,0.88,0.33,0.0,0.0,0.0,0.0,0.0
B. Ward,Reading,Accrington Stanley,LCB,LCB,England League Two 2025-26,22.0,0,30/06/2029,no,2281,46.73,70.85,54.16,72.18,56.14,66.78,69.23,9.23,0.0,11.25,0.47,65.82,7.73,84.53,28.05,20.08,11.01,62.01,1.22,0.08,0.0,0.04,0.04,100.0,0.04
S. Stubbs,Shrewsbury Town,Shrewsbury Town,RCB,"RCB, CB",England League Two 2025-26,27.0,250000,30/06/2027,no,2569,54.64,64.68,39.91,46.56,64.97,66.64,76.38,7.7,0.42,9.46,0.63,60.59,8.27,79.71,21.93,12.79,7.36,54.29,0.77,0.21,0.0,0.04,0.0,0.0,0.0
C. Piergianni,Stevenage,Stevenage,LCB,"LCB, CB",England League One 2025-26,33.0,175000,,no,3398,30.73,94.01,43.63,68.34,60.01,66.54,70.25,6.62,0.15,7.65,0.37,69.29,11.12,80.26,24.82,15.34,9.11,65.7,0.82,0.26,0.0,0.0,0.0,0.0,0.0
J. Guthrie,Northampton Town,Northampton Town,CB,"CB, LCB",England League One 2025-26,33.0,200000,30/06/2026,no,921,42.22,61.95,52.18,33.37,99.25,66.48,68.42,8.25,0.0,8.7,1.07,57.14,8.89,87.78,21.6,13.49,4.3,54.55,0.2,0.0,0.0,0.0,0.0,0.0,0.0
J. Kerr,Wigan Athletic,Wigan Athletic,CB,CB,England League One 2025-26,29.0,0,,no,2860,32.57,69.8,68.97,44.55,93.68,66.26,70.16,6.26,0.12,7.68,0.72,68.93,6.48,90.59,36.13,22.03,5.44,59.54,0.25,0.06,0.0,0.03,0.0,0.0,0.0
C. Hall,Port Vale,Port Vale,LCB,LCB,England League One 2025-26,32.0,175000,30/06/2026,no,3121,37.05,66.53,56.94,86.9,78.75,65.2,68.75,7.22,0.39,8.77,0.32,65.43,7.01,85.92,27.65,22.09,10.81,74.67,0.55,0.12,0.0,0.03,0.0,0.0,0.03
K. Casey,Leyton Orient,Leyton Orient,RCB,RCB,England League One 2025-26,21.0,1000000,30/06/2027,yes,890,40.26,59.34,73.77,74.44,77.01,65.04,65.96,8.2,0.15,8.6,1.01,56.47,8.6,89.54,39.64,31.35,9.2,70.33,0.3,0.3,0.0,0.0,0.0,0.0,0.0
L. Jenkins,Newport County,Newport County,RCB,RCB,England League Two 2025-26,24.0,0,,no,2960,48.81,63.43,57.26,36.96,68.65,64.78,72.89,6.94,0.64,9.09,0.55,62.66,7.33,85.47,30.13,21.07,6.99,47.83,0.82,0.12,0.0,0.0,0.0,0.0,0.0
N. Smith,Tranmere Rovers,Tranmere Rovers,CB,"CB, LCB, RCB",England League Two 2025-26,30.0,450000,30/06/2027,no,4191,47.93,69.48,36.71,33.8,71.4,64.07,76.38,6.77,0.28,8.07,0.86,63.61,8.2,79.89,19.11,8.89,5.39,51.0,0.73,0.13,0.0,0.0,0.0,0.0,0.0
T. Flanagan,Colchester United,Colchester United,LCB,"LCB, CB",England League Two 2025-26,34.0,100000,30/06/2026,no,1208,58.68,37.02,64.62,77.12,73.71,63.8,78.72,8.28,0.36,8.12,0.89,45.71,7.82,87.5,33.38,26.23,10.36,68.35,0.52,0.22,0.0,0.0,0.0,0.0,0.0
W. Fish,Cardiff City,Cardiff City,RCB,RCB,England League One 2025-26,23.0,550000,30/06/2028,no,2589,41.43,52.34,90.06,81.39,70.63,63.78,63.56,8.97,0.32,7.72,1.08,61.94,5.39,92.54,49.88,43.7,10.36,71.81,0.8,0.1,0.0,0.0,0.0,0.0,0.0
L. Gibson,Harrogate Town,Harrogate Town,LCB,LCB,England League Two 2025-26,28.0,175000,30/06/2026,no,1426,56.83,46.59,54.21,62.33,70.1,63.4,75.63,6.69,0.51,10.98,0.82,49.62,8.39,84.6,29.1,18.62,9.91,57.96,0.88,0.06,0.0,0.0,0.0,0.0,0.0
A. Kilgour,Bristol Rovers,Bristol Rovers,LCB,"LCB, CB",England League Two 2025-26,27.0,125000,,no,3435,58.26,57.62,48.9,47.55,52.62,63.38,73.47,8.33,0.65,9.22,0.81,59.01,7.41,83.9,24.58,15.2,6.63,57.71,1.1,0.21,0.0,0.0,0.0,0.0,0.0
D. Matthews,Accrington Stanley,Accrington Stanley,RCB,"RCB, CB, LCB",England League Two 2025-26,26.0,0,30/06/2027,no,3468,42.03,83.49,45.17,64.45,40.28,63.15,69.27,7.41,0.52,9.42,0.31,59.45,12.35,82.35,22.79,14.48,8.98,63.01,1.22,0.29,0.03,0.0,0.0,0.0,0.0
O. Casey,Blackpool,Blackpool,LCB,"LCB, RCB",England League One 2025-26,25.0,300000,30/06/2026,no,3852,47.01,63.61,66.49,38.59,60.68,63.0,73.46,7.17,0.16,9.81,0.79,67.06,5.89,90.52,31.54,22.8,5.09,55.96,1.0,0.14,0.0,0.0,0.0,0.0,0.0
S. Bradley,Lincoln City,Lincoln City,LCB,"LCB, CB",England League One 2025-26,34.0,275000,30/06/2027,no,3918,43.65,61.8,55.59,48.09,77.27,62.97,73.17,7.13,0.2,7.86,0.9,60.06,7.88,88.42,23.61,16.22,5.56,61.98,0.62,0.07,0.02,0.0,0.0,0.0,0.0
O. Beckles,Gillingham,Leyton Orient,RCB,RCB,England League One 2025-26,34.0,100000,30/06/2027,no,2044,36.68,69.88,63.07,66.48,66.75,62.41,71.43,6.74,0.21,7.75,0.62,73.45,4.98,88.16,31.61,22.98,7.09,71.43,0.92,0.09,0.0,0.0,0.0,0.0,0.0
C. Kelly,Bradford City,Bradford City,LCB,LCB,England League One 2025-26,27.0,200000,30/06/2026,no,1167,44.27,62.97,46.91,62.96,71.93,62.3,74.12,7.2,0.12,9.64,0.54,60.78,7.87,78.98,28.61,21.75,11.11,54.17,0.93,0.0,0.0,0.0,0.0,0.0,0.0
