Player,Team,Team within selected timeframe,Main Position,Position,League,Age,Market value,Contract expires,On loan,Minutes played,Defending Att,Aerial Att,Pass Retention Att,Pass Progression Att,Discipline Att,CB Rating,"Defensive duels won, %",PAdj Interceptions,PAdj Sliding tackles,Successful defensive actions per 90,Shots blocked per 90,"Aerial duels won, %",Aerial duels per 90,"Accurate short / medium passes, %",Short / medium passes per 90,Received passes per 90,Progressive passes per 90,"Accurate progressive passes, %",Fouls per 90,Yellow cards per 90,Red cards per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90
L. Woodhouse,Exeter City,Exeter City,LCB,"LCB, CB",England League One 2025-26,21.0,0,30/06/2027,no,2299,38.19,55.33,73.32,71.65,72.08,58.93,67.21,7.74,0.16,8.93,0.74,60.74,6.38,90.08,37.5,31.36,8.57,70.32,0.86,0.04,0.0,0.0,0.0,0.0,0.0
J. Shepherd,Barnsley,Barnsley,LCB,"LCB, RCB, LB",England League One 2025-26,24.0,0,,no,3330,32.53,67.32,77.94,57.45,64.79,58.91,63.12,8.07,0.24,8.05,0.68,67.95,6.32,90.75,41.78,33.7,8.62,58.62,0.73,0.19,0.03,0.0,0.0,0.0,0.0
S. Sherring,Cheltenham Town,Cheltenham Town,RCB,"RCB, RB",England League Two 2025-26,25.0,400000,31/05/2026,yes,1674,42.39,42.16,67.96,60.55,93.65,58.67,76.72,6.07,0.29,9.52,0.22,56.0,5.38,89.12,34.09,27.26,8.44,61.78,0.22,0.0,0.05,0.0,0.0,0.0,0.0
C. Goode,Stevenage,Stevenage,RCB,"RCB, CB",England League One 2025-26,30.0,500000,30/06/2026,no,3438,30.38,78.71,44.07,58.13,65.36,57.44,65.47,6.83,0.33,7.46,0.63,71.53,7.36,82.0,22.83,13.17,6.88,65.4,0.71,0.24,0.0,0.0,0.0,0.0,0.0
R. Sweeney,Mansfield Town,Mansfield Town,CB,"CB, LCB",England League One 2025-26,28.0,350000,30/06/2027,no,1675,41.68,67.49,48.57,36.28,61.04,57.16,75.4,5.95,0.2,10.05,0.38,61.25,8.6,82.45,27.24,15.8,6.23,50.0,0.91,0.11,0.05,0.0,0.0,0.0,0.0
D. Casey,Wycombe Wanderers,Wycombe Wanderers,RCB,RCB,England League One 2025-26,28.0,400000,,no,2287,42.74,41.98,67.51,57.11,88.86,56.91,69.41,8.03,0.16,8.22,0.94,57.98,4.68,88.86,36.4,24.16,6.41,66.26,0.28,0.12,0.0,0.0,0.0,0.0,0.0
C. O'Riordan,Blackburn Rovers,Doncaster Rovers,RCB,RCB,England League One 2025-26,22.0,0,,no,1710,46.1,48.86,80.65,56.22,57.57,56.88,73.05,6.97,0.16,11.16,0.53,58.56,5.84,94.31,40.68,29.37,6.68,64.57,1.05,0.16,0.0,0.0,0.0,0.0,0.0
M. Ihiekwe,Blackpool,Blackpool,RCB,"RCB, CB",England League One 2025-26,33.0,300000,30/06/2028,no,2362,32.4,63.2,68.01,50.87,74.66,56.58,70.25,6.37,0.26,8.15,0.34,66.67,5.94,88.61,36.81,25.53,7.66,56.72,0.61,0.15,0.0,0.0,0.0,0.0,0.0
C. Dunkley,Chesterfield,Chesterfield,RCB,RCB,England League Two 2025-26,34.0,175000,30/06/2027,no,2660,35.34,80.74,56.45,30.68,46.12,56.56,65.85,8.13,0.17,8.7,0.54,66.43,9.47,85.53,29.23,20.27,6.43,44.74,1.29,0.2,0.0,0.0,0.0,0.0,0.0
E. O'Connell,Barnsley,Barnsley,LCB,"LCB, RCB, CB",England League One 2025-26,30.0,200000,30/06/2026,no,1463,14.81,78.22,74.72,68.51,81.0,56.52,62.9,5.06,0.08,6.46,0.74,76.67,5.54,90.85,39.0,29.96,8.18,69.17,0.49,0.12,0.0,0.0,0.0,0.0,0.0
A. Flint,Walsall,Walsall,CB,CB,England League Two 2025-26,36.0,100000,30/06/2026,no,3893,39.07,63.88,33.56,60.15,75.16,56.51,74.07,6.99,0.21,7.35,0.51,63.34,7.19,78.85,16.83,8.39,7.42,65.11,0.58,0.16,0.0,0.0,0.0,0.0,0.0
D. Elerewe,Lincoln City,Bromley,LCB,"LCB, RCB",England League Two 2025-26,22.0,0,30/06/2029,no,1663,38.4,82.23,24.03,39.19,53.54,56.49,75.86,6.45,0.0,8.23,0.54,69.57,8.71,73.33,16.24,6.49,6.01,53.15,1.24,0.11,0.0,0.0,0.0,0.0,0.0
M. Morrison,Cambridge United,Cambridge United,RCB,"RCB, CB",England League Two 2025-26,38.0,100000,30/06/2026,no,1284,41.58,56.62,46.11,51.79,77.14,56.43,78.18,6.48,0.2,7.71,0.35,51.06,9.88,83.97,21.87,12.41,6.66,61.05,0.56,0.14,0.0,0.0,0.0,0.0,0.0
K. Watts,Cambridge United,Cambridge United,LCB,"LCB, CB",England League Two 2025-26,26.0,250000,30/06/2027,no,4028,28.02,60.72,58.14,77.24,88.55,56.41,74.81,5.67,0.03,5.94,0.45,57.82,8.42,84.4,30.66,25.78,10.64,67.44,0.42,0.04,0.0,0.0,0.0,0.0,0.0
W. Boyle,Shrewsbury Town,Shrewsbury Town,LCB,"LCB, CB",England League Two 2025-26,30.0,250000,30/06/2027,no,3864,41.39,72.56,36.49,50.88,52.44,56.41,72.02,7.54,0.12,8.97,0.56,63.12,8.97,77.77,21.48,12.27,7.38,57.73,1.02,0.23,0.02,0.02,0.0,0.0,0.0
J. McGrath,Doncaster Rovers,Doncaster Rovers,LCB,LCB,England League One 2025-26,22.0,0,30/06/2028,no,2402,33.98,69.66,57.84,75.95,55.37,56.39,66.42,7.3,0.32,8.73,0.41,68.16,6.71,85.32,30.12,22.82,10.08,68.4,1.01,0.22,0.0,0.0,0.0,0.0,0.0
H. Araujo,Colchester United,Colchester United,LCB,LCB,England League Two 2025-26,21.0,0,30/06/2027,yes,2790,41.53,47.49,71.85,76.76,69.9,56.39,80.92,5.98,0.05,7.39,0.48,55.34,6.65,90.11,36.19,29.77,11.23,64.94,0.77,0.13,0.0,0.0,0.0,0.0,0.0
E. Turns,Exeter City,Exeter City,RCB,"RCB, RB, LCB",England League One 2025-26,22.0,0,,no,890,44.98,49.19,73.87,58.13,61.45,56.16,64.75,6.52,0.29,8.75,0.71,61.54,5.26,90.75,42.65,34.3,7.69,51.97,1.11,0.05,0.0,0.0,0.0,0.0,0.0
E. Turns,Exeter City,Exeter City,RCB,"RCB, RB, LCB",England League One 2025-26,22.0,0,,no,890,44.98,49.19,73.87,58.13,61.45,56.16,69.7,6.84,0.28,9.81,1.01,60.78,5.16,88.95,39.34,33.88,10.21,53.47,1.21,0.0,0.0,0.0,0.0,0.0,0.0
T. Hamer,Lincoln City,Lincoln City,RCB,RCB,England League One 2025-26,26.0,250000,30/06/2029,no,3652,30.72,70.21,46.79,75.22,69.68,56.13,67.19,5.56,0.5,7.96,0.54,65.5,7.71,83.47,21.02,16.61,8.26,74.33,0.71,0.17,0.0,0.0,0.0,0.0,0.0
W. Forrester,Leyton Orient,Leyton Orient,CB,"CB, RCB",England League One 2025-26,24.0,275000,30/06/2028,no,1240,33.5,67.49,72.23,37.59,63.23,56.1,54.17,10.61,0.11,8.71,1.02,58.33,9.58,90.86,38.1,25.69,5.15,54.93,0.8,0.22,0.0,0.0,0.0,0.0,0.0
J. Bowery,Mansfield Town,Mansfield Town,RCB,RCB,England League One 2025-26,34.0,125000,30/06/2026,no,932,50.68,49.22,71.36,46.05,51.6,56.07,77.14,6.44,0.0,10.33,1.06,66.67,3.19,89.09,38.05,29.65,7.34,53.95,1.16,0.19,0.0,0.0,0.0,0.0,0.0
J. Knight-Lebel,Swindon Town,Swindon Town,RCB,"RCB, CB",England League Two 2025-26,21.0,0,30/06/2027,yes,2413,56.34,33.42,58.39,31.82,80.49,55.76,77.53,7.47,0.23,10.15,0.86,49.68,5.78,86.85,30.06,19.1,6.15,46.67,0.52,0.11,0.0,0.0,0.0,0.0,0.0
J. Clarke,Cardiff MU,Newport County,LCB,"LCB, CB",England League Two 2025-26,36.0,75000,30/06/2027,no,912,44.16,47.37,55.17,38.53,84.65,55.66,78.95,6.61,0.13,7.99,0.49,56.25,6.32,86.97,25.76,17.27,5.13,55.77,0.59,0.0,0.0,0.0,0.0,0.0,0.0
T. Lockyer,Bristol Rovers,Bristol Rovers,CB,"CB, RCB, LCB",England League Two 2025-26,31.0,2500000,30/06/2026,no,1051,41.58,68.47,55.02,75.39,36.25,55.37,72.22,7.57,0.15,8.91,0.51,66.27,7.11,82.11,32.54,24.06,10.36,66.94,1.37,0.17,0.09,0.17,0.0,0.0,0.0
C. Makosso,Oxford United,Luton Town,RCB,"RCB, RB",England League One 2025-26,21.0,0,30/06/2029,yes,1038,63.75,21.16,53.01,73.78,71.99,54.87,77.91,8.39,0.62,10.84,0.43,47.83,3.99,82.8,29.74,21.07,10.23,66.1,0.78,0.09,0.0,0.0,0.0,0.0,0.0
L. Chapman,Wigan Athletic U21,Wigan Athletic,LCB,"LCB, RCB",England League One 2025-26,20.0,0,,no,500,61.77,13.7,50.69,53.36,100.0,54.7,75.76,7.86,0.71,10.98,0.54,38.71,5.58,80.61,29.7,23.22,8.28,56.52,0.18,0.0,0.0,0.0,0.0,0.0,0.0
J. Olowu,Stockport County,Stockport County,RCB,"RCB, CB",England League One 2025-26,26.0,225000,30/06/2028,no,2250,36.05,57.94,61.44,47.74,74.33,54.55,66.21,6.82,0.4,8.92,0.64,68.18,4.4,86.84,31.92,23.36,6.64,57.83,0.8,0.04,0.0,0.0,0.0,0.0,0.0
A. Hagelskjær,Wycombe Wanderers,Wycombe Wanderers,LCB,LCB,England League One 2025-26,29.0,800000,30/06/2028,no,2326,41.34,46.85,70.25,72.24,67.52,54.29,72.44,7.39,0.17,8.71,0.54,60.48,4.8,88.46,38.23,29.06,10.76,62.95,0.85,0.12,0.0,0.0,0.0,0.0,0.0
B. Cargill,Mansfield Town,Mansfield Town,LCB,LCB,England League One 2025-26,30.0,250000,30/06/2027,no,1556,26.36,64.7,59.66,100.0,69.39,54.23,57.61,5.87,0.73,8.79,0.69,67.31,6.02,83.81,32.51,28.63,14.06,73.66,0.52,0.29,0.0,0.0,0.0,0.0,0.0
M. Ross,Plymouth Argyle,Plymouth Argyle,RCB,"RCB, CB",England League One 2025-26,25.0,1000000,30/06/2028,no,2692,35.43,71.78,55.91,50.51,49.84,54.17,65.84,7.21,0.45,8.66,0.47,65.29,8.09,86.78,27.31,17.49,6.52,60.51,1.24,0.17,0.0,0.0,0.0,0.0,0.0
T. Mullarkey,Fleetwood Town,Fleetwood Town,RCB,"RCB, RB",England League Two 2025-26,30.0,200000,30/06/2027,no,1699,39.4,52.37,53.68,69.27,72.92,54.05,62.3,9.03,0.33,8.0,0.95,66.67,3.81,84.29,27.65,20.34,8.21,69.68,0.64,0.16,0.0,0.0,0.0,0.0,0.0
W. Wright,Swindon Town,Swindon Town,RCB,"RCB, RB",England League Two 2025-26,28.0,275000,,no,2910,49.12,31.77,63.85,85.25,75.4,53.83,68.87,8.59,0.53,9.09,0.65,50.92,5.04,85.09,36.09,28.92,11.66,70.29,0.59,0.15,0.0,1.27,0.28,44.44,2.29
H. Douglas,Rotherham United,Rotherham United,CB,CB,England League One 2025-26,20.0,0,30/06/2027,no,770,46.72,42.61,59.96,35.28,74.96,52.46,72.0,7.76,0.29,8.53,0.82,50.0,7.48,89.17,28.05,17.53,5.03,53.49,0.47,0.23,0.0,0.0,0.0,0.0,0.0
L. O'Connor,Tranmere Rovers,Tranmere Rovers,RCB,"RCB, DMF",England League Two 2025-26,25.0,300000,30/06/2027,no,861,56.83,26.22,50.54,60.07,76.99,51.91,73.44,6.73,1.12,10.77,0.21,53.33,3.14,83.15,27.91,16.93,8.26,62.03,0.63,0.1,0.0,0.0,0.0,0.0,0.0
S. Bennett,Weston-super-Mare,Cheltenham Town,CB,"CB, LCB",England League Two 2025-26,35.0,100000,31/05/2026,no,560,49.41,61.4,32.94,56.59,38.72,51.72,71.43,6.22,0.89,9.96,0.48,54.1,9.8,77.67,16.55,11.25,8.04,60.0,1.29,0.32,0.0,0.0,0.0,0.0,0.0
S. Ogie,Gillingham,Gillingham,LCB,LCB,England League Two 2025-26,24.0,225000,,no,848,38.9,69.99,22.81,59.9,55.19,51.71,69.09,7.1,0.53,8.6,0.32,67.16,7.11,67.66,24.94,11.14,9.76,56.52,0.85,0.32,0.0,0.11,0.0,0.0,0.11
D. Lawlor,Cardiff City,Cardiff City,LCB,"LCB, RCB",England League One 2025-26,20.0,0,30/06/2028,no,2137,36.07,36.01,100.0,74.75,74.17,51.68,68.6,7.64,0.32,6.65,0.67,56.12,4.13,93.06,61.87,48.14,8.55,72.91,0.59,0.17,0.0,0.0,0.0,0.0,0.04
B. Cooper,Salford City,Salford City,CB,"CB, LCB, RCB",England League Two 2025-26,26.0,350000,30/06/2027,no,2517,36.58,62.69,45.42,51.95,63.3,51.63,72.59,6.97,0.12,7.83,0.5,57.96,8.76,83.17,22.1,13.23,6.29,62.5,0.93,0.14,0.0,0.04,0.0,0.0,0.0
T. Anderson,Shrewsbury Town,Shrewsbury Town,CB,"CB, RCB",England League Two 2025-26,32.0,175000,30/06/2027,no,2367,23.97,77.08,38.84,54.92,70.54,51.33,64.52,7.28,0.0,8.44,0.27,66.67,8.67,78.82,21.9,13.42,8.44,57.21,0.72,0.15,0.0,0.0,0.0,0.0,0.0
C. Connolly,Stockport County,Stockport County,CB,"CB, RCB",England League One 2025-26,28.0,600000,30/06/2026,no,1218,38.57,49.86,70.34,54.4,64.18,51.0,74.14,6.1,0.31,7.83,0.52,62.9,4.58,92.76,31.63,23.72,6.13,65.06,0.89,0.15,0.0,0.07,0.0,0.0,0.0
E. Moore,Northampton Town,Northampton Town,RCB,"RCB, CB, LCB",England League One 2025-26,29.0,500000,30/06/2027,no,1199,28.85,62.54,59.93,42.05,75.71,50.97,63.16,7.34,0.32,7.13,0.68,61.39,7.58,87.8,31.38,17.64,5.7,56.58,0.45,0.23,0.0,0.0,0.0,0.0,0.0
F. Mabete,Swindon Town,Swindon Town,CB,"CB, LCB",England League Two 2025-26,21.0,0,30/06/2027,no,1145,52.22,45.29,58.13,27.8,53.76,50.96,68.42,7.07,1.1,9.35,0.63,55.84,6.05,85.79,31.52,20.12,5.82,44.59,1.02,0.24,0.0,0.0,0.0,0.0,0.0
J. Simpson,Leyton Orient,Leyton Orient,LCB,"LCB, LB",England League One 2025-26,29.0,300000,30/06/2026,no,2410,41.53,45.68,67.17,65.13,62.83,50.9,71.01,7.4,0.17,9.49,0.56,54.19,6.68,88.28,35.7,26.22,9.0,63.49,0.86,0.19,0.0,0.0,0.0,0.0,0.0
M. Pennington,Bradford City,Bradford City,RCB,RCB,England League One 2025-26,31.0,450000,30/06/2027,no,2319,34.1,62.3,50.87,67.66,58.43,50.58,62.07,7.95,0.35,9.7,0.47,63.13,6.95,82.19,28.76,19.68,8.77,66.37,0.78,0.31,0.0,0.0,0.0,0.0,0.0
A. Odimayo,Crawley Town,Crawley Town,RCB,"RCB, LCB",England League Two 2025-26,26.0,200000,30/06/2027,no,832,38.01,40.22,72.38,61.36,79.74,50.53,71.43,7.14,0.18,8.22,0.54,55.1,5.3,87.06,43.49,31.48,9.74,57.78,0.54,0.11,0.0,0.0,0.0,0.0,0.0
T. Mengi,Luton Town,Luton Town,RCB,"RCB, LCB",England League One 2025-26,23.0,0,,no,2030,41.24,32.93,81.09,64.81,77.98,50.29,73.08,7.73,0.22,7.23,0.58,56.58,3.37,92.07,43.05,34.58,7.49,68.64,0.62,0.09,0.0,0.0,0.0,0.0,0.0
Z. Ashworth,Blackpool,Blackpool,LCB,"LCB, LWB, LB",England League One 2025-26,23.0,250000,30/06/2027,no,1857,42.67,64.99,52.55,46.97,33.92,49.95,70.21,6.62,0.63,9.79,0.29,65.93,6.54,82.95,27.29,22.73,6.45,57.89,1.55,0.24,0.0,0.29,0.05,100.0,0.24
C. Chambers,Cardiff City,Cardiff City,LCB,LCB,England League One 2025-26,31.0,4000000,30/06/2027,no,1985,33.76,42.77,91.45,74.02,66.82,49.83,71.05,7.21,0.08,7.62,0.45,56.3,5.4,90.86,56.09,44.21,10.79,64.29,0.77,0.18,0.0,0.0,0.0,0.0,0.0
T. O'Connor,Wrexham,Peterborough United,LCB,LCB,England League One 2025-26,26.0,300000,30/06/2027,no,1443,37.43,35.24,86.61,72.32,74.85,49.52,66.67,7.21,0.45,9.17,0.44,49.02,6.36,90.19,52.14,40.98,11.1,61.8,0.44,0.25,0.0,0.0,0.0,0.0,0.25
K. Naismith,Luton Town,Luton Town,LCB,"LCB, LB",England League One 2025-26,34.0,700000,,no,2982,28.23,51.84,79.97,83.56,65.67,49.15,64.19,7.79,0.21,7.48,0.42,61.08,5.58,89.89,45.09,36.64,10.56,72.86,0.85,0.15,0.0,0.33,0.03,100.0,0.24
C. Masterson,Gillingham,Gillingham,LCB,"LCB, CB, RCB",England League Two 2025-26,27.0,250000,30/06/2026,no,518,28.87,56.32,61.13,23.76,87.27,49.07,76.92,4.9,0.0,6.25,0.52,56.52,7.99,89.57,28.32,18.42,4.0,47.83,0.52,0.0,0.0,0.0,0.0,0.0,0.0
Z. Jules,Rotherham United,Rotherham United,CB,"CB, LCB",England League One 2025-26,29.0,300000,30/06/2026,no,2487,35.29,70.34,52.01,33.61,44.18,48.85,67.63,6.71,0.15,8.5,0.9,63.64,8.36,85.9,25.4,14.37,4.78,53.03,1.09,0.29,0.04,0.0,0.0,0.0,0.0
J. Debrah,Bromley,Bromley,RCB,"RCB, LCB",England League Two 2025-26,25.0,200000,30/06/2026,yes,1012,39.49,73.89,0.0,17.54,65.32,48.66,82.09,4.14,0.26,7.99,0.36,62.26,9.52,60.53,10.24,3.86,4.67,40.38,0.81,0.18,0.0,0.0,0.0,0.0,0.0
W. Aimson,Wigan Athletic,Wigan Athletic,RCB,"RCB, CB, LCB",England League One 2025-26,31.0,225000,30/06/2026,no,3791,25.46,60.54,61.48,59.53,73.4,48.34,66.67,5.57,0.27,7.36,0.59,63.08,6.62,85.76,32.0,26.87,8.78,59.73,0.66,0.14,0.0,0.02,0.0,0.0,0.0
J. Thorniley,Oxford United,Northampton Town,CB,"CB, LCB",England League One 2025-26,29.0,275000,30/06/2026,no,1416,46.59,49.2,42.41,55.47,53.69,48.31,72.53,8.23,0.09,10.17,0.51,51.54,8.26,81.25,21.36,13.92,7.5,61.02,0.89,0.32,0.0,0.57,0.0,0.0,0.0
S. Malone,Crawley Town,Crawley Town,LCB,"LCB, LWB",England League Two 2025-26,35.0,150000,30/06/2026,no,937,50.08,27.57,53.99,63.39,77.06,48.24,75.0,8.33,0.17,9.22,0.58,55.17,2.79,83.62,28.14,22.57,8.36,64.37,0.48,0.19,0.0,0.38,0.0,0.0,0.0
C. Mola,Bristol Rovers,Bristol Rovers,LCB,"LCB, LCMF",England League Two 2025-26,25.0,275000,30/06/2027,no,2773,50.09,41.37,46.98,51.71,57.77,48.17,69.95,9.03,0.55,9.8,0.26,54.55,5.71,81.01,27.0,17.36,7.4,58.33,0.88,0.26,0.0,0.0,0.0,0.0,0.0
M. Dyche,Northampton Town,Northampton Town,CB,"CB, RCB, LCB",England League One 2025-26,23.0,0,30/06/2027,no,2054,35.95,51.62,45.33,54.71,74.99,48.14,67.39,7.34,0.19,7.93,0.83,58.0,6.57,81.98,22.61,16.26,7.58,60.12,0.7,0.09,0.0,0.0,0.0,0.0,0.0
M. Baker,Newport County,Newport County,LCB,"LCB, RCB, CB",England League Two 2025-26,23.0,0,30/06/2026,no,3448,46.12,33.01,60.79,41.37,77.48,47.59,76.92,6.43,0.26,8.87,0.6,46.04,6.92,87.87,30.77,20.07,6.21,54.2,0.65,0.08,0.0,0.03,0.0,0.0,0.0
D. Daniels,Oldham Athletic,Oldham Athletic,RCB,"RCB, CB",England League Two 2025-26,32.0,225000,30/06/2027,no,3782,42.9,37.08,43.31,66.75,80.45,47.38,77.0,6.64,0.07,8.33,0.62,47.83,7.12,83.56,18.97,11.4,7.54,70.03,0.62,0.05,0.0,0.02,0.02,100.0,0.0
A. Pond,Crewe Alexandra,Crewe Alexandra,RCB,"RCB, LCB",England League Two 2025-26,22.0,0,30/06/2027,yes,1495,33.7,66.27,60.88,37.8,44.12,47.26,60.42,7.0,0.69,8.85,0.66,61.76,8.19,86.79,31.91,22.33,7.16,47.9,1.08,0.36,0.0,0.0,0.0,0.0,0.0
J. Debrah,Bromley,Port Vale,CB,"CB, RCB",England League One 2025-26,25.0,200000,30/06/2026,yes,1435,29.79,52.18,56.69,52.1,79.46,46.86,83.33,3.45,0.0,6.02,0.38,59.79,6.08,88.28,24.08,18.44,5.58,65.17,0.63,0.06,0.0,0.0,0.0,0.0,0.0
E. Turns,Exeter City,Exeter City,LCB,"LCB, RCB, CB",England League One 2025-26,23.0,400000,30/06/2027,no,1779,31.49,51.0,78.74,45.15,62.11,45.99,64.75,6.52,0.29,8.75,0.71,61.54,5.26,90.75,42.65,34.3,7.69,51.97,1.11,0.05,0.0,0.0,0.0,0.0,0.0
E. Turns,Exeter City,Exeter City,LCB,"LCB, RCB, CB",England League One 2025-26,23.0,400000,30/06/2027,no,1779,31.49,51.0,78.74,45.15,62.11,45.99,69.7,6.84,0.28,9.81,1.01,60.78,5.16,88.95,39.34,33.88,10.21,53.47,1.21,0.0,0.0,0.0,0.0,0.0,0.0
N. Byrne,Doncaster Rovers,Doncaster Rovers,RCB,RCB,England League One 2025-26,33.0,100000,30/06/2026,yes,1780,29.13,59.2,49.52,57.86,67.17,45.97,65.63,7.25,0.0,8.04,0.71,66.35,5.26,83.2,25.58,17.54,8.19,60.49,0.81,0.15,0.0,0.0,0.0,0.0,0.0
N. Canavan,Barrow,Barrow,CB,"CB, LCB",England League Two 2025-26,34.0,100000,30/06/2026,no,2406,39.67,54.19,44.96,67.08,48.81,45.89,71.59,6.89,0.25,7.63,0.79,58.79,6.81,81.23,24.31,15.71,9.54,63.14,0.9,0.22,0.11,0.0,0.0,0.0,0.0
K. McFadzean,Chesterfield,Chesterfield,LCB,"LCB, RCB",England League Two 2025-26,39.0,200000,,no,3175,33.92,53.71,78.55,75.18,39.86,45.85,67.26,7.96,0.2,7.88,0.43,65.22,4.56,91.05,42.46,33.17,10.54,66.13,1.33,0.23,0.03,0.0,0.0,0.0,0.0
F. Potter,Fleetwood Town,Fleetwood Town,LCB,"LCB, CB",England League Two 2025-26,22.0,0,30/06/2027,no,2435,32.98,46.3,64.73,83.61,63.16,45.71,64.04,7.89,0.49,7.72,0.37,54.4,6.73,85.81,37.26,26.98,12.49,65.98,0.67,0.3,0.0,0.04,0.0,0.0,0.0
S. Sessegnon,Wigan Athletic,Wigan Athletic,RCB,"RCB, LCB",England League One 2025-26,25.0,375000,30/06/2026,no,720,58.42,51.26,56.99,55.09,0.0,45.69,67.92,8.23,1.2,11.38,0.25,64.71,4.25,84.34,31.13,22.88,8.13,58.46,1.38,0.5,0.25,0.0,0.0,0.0,0.0
S. Gale,Gillingham,Gillingham,RCB,"RCB, LCB",England League Two 2025-26,21.0,0,30/06/2028,no,3509,47.09,43.49,37.44,61.36,53.36,44.65,77.74,6.2,0.26,10.41,0.33,56.6,5.44,78.98,20.13,12.13,7.95,64.19,1.08,0.21,0.0,0.0,0.0,0.0,0.0
J. Earl,Barnsley,Barnsley,LCB,"LCB, LB",England League One 2025-26,27.0,750000,30/06/2027,no,1468,35.83,45.11,81.19,76.83,45.28,44.49,64.84,7.7,0.39,8.64,0.55,54.21,6.56,89.65,46.78,37.89,11.22,65.03,1.23,0.25,0.0,0.0,0.0,0.0,0.0
J. Ruffels,Shrewsbury Town,Shrewsbury Town,LCB,"LCB, LCMF",England League Two 2025-26,32.0,400000,30/06/2026,no,2244,35.08,48.53,44.23,53.86,72.47,44.4,67.97,6.86,0.32,8.9,0.44,51.74,8.06,79.64,26.79,16.12,7.42,60.0,0.68,0.08,0.04,0.04,0.0,0.0,0.0
H. Burke,Walsall,Walsall,RCB,"RCB, LCB",England League Two 2025-26,23.0,0,30/06/2028,no,1645,22.15,63.06,33.19,51.64,85.31,44.2,68.83,5.27,0.07,7.28,0.44,64.23,6.73,76.1,21.06,11.11,7.99,56.16,0.49,0.05,0.0,0.0,0.0,0.0,0.0
G. Bajrami,Crawley Town,Crawley Town,CB,"CB, DMF, LCMF",England League Two 2025-26,26.0,100000,30/06/2026,yes,2155,48.96,37.27,70.48,64.39,36.23,44.18,74.17,7.39,0.52,9.1,0.42,50.0,6.43,88.88,40.18,25.68,7.64,67.76,1.34,0.33,0.0,0.08,0.08,50.0,0.0
K. John,Port Vale,Port Vale,RCB,"RCB, RB, RWB",England League One 2025-26,25.0,150000,30/06/2027,no,2047,30.33,53.5,38.32,59.35,75.8,43.94,69.11,6.07,0.23,8.57,0.35,68.35,3.47,80.64,16.58,13.19,6.68,67.11,0.53,0.18,0.0,0.04,0.0,0.0,0.0
Z. Medley,Bromley,Bromley,LCB,"LCB, LWB",England League Two 2025-26,25.0,400000,30/06/2026,yes,2020,49.48,33.82,37.47,64.07,62.12,43.63,66.4,9.73,0.14,10.11,0.94,47.62,6.55,77.52,20.81,16.08,8.64,63.92,0.94,0.09,0.04,0.04,0.04,100.0,0.04
J. Bedeau,Notts County,Notts County,LCB,LCB,England League Two 2025-26,26.0,325000,30/06/2027,no,4159,31.37,46.22,75.67,70.28,57.61,43.49,68.66,6.67,0.17,8.42,0.41,56.47,6.02,88.34,43.04,35.01,10.06,63.87,0.95,0.22,0.0,0.0,0.0,0.0,0.0
O. Beckles,Gillingham,Gillingham,CB,"CB, RCB",England League Two 2025-26,34.0,100000,30/06/2027,no,840,34.26,62.48,34.91,48.16,51.07,43.22,76.74,5.6,0.16,7.29,0.32,66.07,6.0,78.19,20.14,9.21,6.32,59.32,0.96,0.32,0.0,0.0,0.0,0.0,0.0
F. Blake-Tracy,Mansfield Town,Mansfield Town,LCB,"LCB, LB",England League One 2025-26,30.0,200000,30/06/2026,no,3058,18.16,60.73,57.38,52.97,80.62,43.14,64.47,5.36,0.15,7.24,0.47,60.63,7.48,84.64,29.31,25.1,7.65,58.46,0.5,0.12,0.0,0.0,0.0,0.0,0.03
J. Low,Huddersfield Town,Huddersfield Town,LCB,"LCB, CB, RCB",England League One 2025-26,24.0,275000,30/06/2028,no,2356,14.63,68.98,76.97,50.76,58.76,42.37,63.21,5.35,0.16,6.46,0.46,71.94,5.31,90.64,42.86,30.56,7.22,58.2,1.15,0.08,0.0,0.0,0.0,0.0,0.0
K. Hughes,Fleetwood Town,Fleetwood Town,LCB,LCB,England League Two 2025-26,20.0,0,30/06/2027,no,1502,39.02,39.63,48.61,54.25,70.14,42.36,77.33,5.83,0.17,7.79,0.48,57.53,4.37,82.63,25.53,17.5,6.35,64.15,0.78,0.12,0.0,0.0,0.0,0.0,0.0
L. Agbaire,Rotherham United,Rotherham United,RCB,"RCB, CB",England League One 2025-26,21.0,0,30/06/2028,no,965,32.16,64.71,50.41,34.28,42.62,42.02,63.27,6.7,0.4,7.83,0.93,63.29,7.37,85.04,25.55,13.52,4.66,54.0,1.4,0.19,0.0,0.0,0.0,0.0,0.0
A. Hartridge,Burton Albion,Burton Albion,LCB,LCB,England League One 2025-26,27.0,275000,30/06/2026,no,3329,25.64,48.12,52.88,79.95,76.02,41.93,61.34,7.25,0.15,8.52,0.59,59.02,5.54,84.14,27.28,19.57,10.54,70.0,0.59,0.14,0.0,0.03,0.0,0.0,0.0
J. Moon,Burton Albion,Burton Albion,CB,CB,England League One 2025-26,25.0,300000,30/06/2026,no,1289,28.04,50.3,57.03,59.0,69.28,41.87,68.33,6.73,0.1,7.54,0.42,56.0,6.98,89.68,23.67,15.15,4.61,74.24,0.77,0.14,0.0,0.0,0.0,0.0,0.0
