Player,Team,Team within selected timeframe,Main Position,Position,League,Age,Market value,Contract expires,On loan,Minutes played,Shot Stopping Att,Aerial Att,Sweeping Att,Short Dist Att,Long Dist Att,GK Rating,Prevented goals per 90,"Save rate, %",Shots against per 90,"Aerial duels won, %",Aerial duels per 90,Exits per 90,PAdj Interceptions,"Accurate short / medium passes, %",Short / medium passes per 90,"Average pass length, m","Accurate long passes, %",Long passes per 90,"Average long pass length, m"
L. Roberts,Mansfield Town,Mansfield Town,GK,GK,England League One 2025-26,31.0,250000,30/06/2027,no,3557,68.9,71.13,34.92,53.09,30.66,63.64,0.039,71.33,3.62,85.71,0.18,1.34,2.08,97.35,12.4,36.64,56.88,9.74,51.25
W. Brook,Shrewsbury Town,Shrewsbury Town,GK,GK,England League Two 2025-26,22.0,0,30/06/2028,no,1791,34.0,97.22,45.36,44.63,58.84,63.53,-0.164,60.81,3.72,100.0,0.65,1.46,2.47,97.47,7.94,43.07,61.36,13.27,51.95
W. Norris,Wycombe Wanderers,Wycombe Wanderers,GK,GK,England League One 2025-26,32.0,400000,30/06/2026,no,3218,44.58,67.36,66.04,75.59,70.16,62.8,-0.104,64.08,2.88,77.78,0.25,2.04,2.59,98.46,18.21,35.16,62.16,15.3,51.4
M. Cooper,Sheffield Wednesday,Barnsley,GK,GK,England League One 2025-26,24.0,0,31/05/2026,yes,2096,40.53,91.82,52.46,56.21,25.18,61.74,-0.077,60.24,3.56,93.33,0.64,1.46,2.89,97.63,12.67,36.21,52.49,11.21,53.04
J. Lynch,Fleetwood Town,Fleetwood Town,GK,GK,England League Two 2025-26,33.0,225000,30/06/2027,no,4294,51.44,72.18,37.08,50.39,67.18,60.17,-0.062,66.04,3.33,87.5,0.17,0.94,2.97,97.88,8.89,40.59,67.72,11.23,53.62
J. Keeley,Luton Town,Luton Town,GK,GK,England League One 2025-26,22.0,200000,30/06/2027,no,3919,48.96,71.91,49.47,71.66,40.7,59.77,-0.06,64.44,3.1,72.73,0.51,1.22,3.17,98.46,16.37,34.05,58.65,10.89,51.64
J. Murphy,Tranmere Rovers,Tranmere Rovers,GK,GK,England League Two 2025-26,44.0,25000,30/06/2026,no,2196,32.6,79.34,50.21,42.41,100.0,59.7,-0.213,62.5,4.59,83.33,0.49,1.39,2.89,96.73,10.04,40.2,74.57,14.34,49.73
O. Goodman,Barnsley,Barnsley,GK,GK,England League One 2025-26,22.0,500000,30/06/2026,yes,2522,34.65,92.37,52.77,63.31,23.42,59.64,-0.201,63.11,3.68,100.0,0.5,1.89,2.09,98.01,14.38,32.11,55.0,9.28,49.7
M. Maroši,Tranmere Rovers,Tranmere Rovers,GK,GK,England League Two 2025-26,32.0,325000,30/06/2027,no,1192,37.33,73.25,59.44,57.18,79.16,59.44,-0.249,67.21,4.61,80.0,0.38,1.74,2.77,98.98,7.4,45.65,66.49,14.65,54.58
L. Ashby-Hammond,Plymouth Argyle,Plymouth Argyle,GK,GK,England League One 2025-26,25.0,200000,30/06/2026,no,1605,43.86,81.7,57.91,51.96,33.0,59.36,-0.106,63.75,4.49,100.0,0.17,1.85,2.47,97.03,13.23,40.56,53.13,12.56,54.91
M. Maroši,Port Vale,Port Vale,GK,GK,England League One 2025-26,32.0,325000,30/06/2027,no,504,23.73,93.66,69.27,36.56,62.99,58.94,-0.139,53.33,2.68,100.0,0.54,1.61,3.6,95.59,12.14,37.18,64.71,12.14,51.66
L. Nicholls,Huddersfield Town,Huddersfield Town,GK,GK,England League One 2025-26,33.0,900000,30/06/2028,no,3196,61.54,72.37,29.04,58.25,22.72,58.77,0.007,68.55,3.49,81.82,0.31,1.32,1.77,97.94,12.31,33.0,58.4,7.04,52.48
N. Tzanev,Huddersfield Town,Newport County,GK,GK,England League Two 2025-26,29.0,100000,30/06/2026,no,1093,39.14,84.29,48.46,54.51,42.56,58.58,-0.11,61.11,4.45,100.0,0.25,1.32,2.92,97.79,11.2,37.52,58.82,11.2,52.28
