Player,Team,Team within selected timeframe,Main Position,Position,League,Age,Market value,Contract expires,On loan,Minutes played,Goal Threat Att,Creativity Att,Dribbling Att,Aerial Att,Defending Att,ST Rating,Non-penalty goals per 90,xG per 90,"Shots on target, %",Touches in box per 90,Key passes per 90,xA per 90,Deep completions per 90,"Successful dribbles, %",Dribbles per 90,Accelerations per 90,"Aerial duels won, %",Aerial duels per 90,Head goals per 90,"Defensive duels won, %",Successful defensive actions per 90,Defensive duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90
B. Hanlan,Doncaster Rovers,Doncaster Rovers,CF,CF,England League One 2025-26,28.0,300000,30/06/2027,no,1906,49.7,31.14,38.65,34.62,38.94,40.1,0.24,0.18,55.0,2.79,0.28,0.04,0.61,52.94,1.61,0.0,20.59,11.24,0.0,51.28,3.16,3.68,0.0,0.0,0.0,0.0
P. Madden,Accrington Stanley,Accrington Stanley,CF,"CF, AMF",England League Two 2025-26,36.0,0,30/06/2026,yes,2267,43.0,20.03,49.34,48.08,42.19,39.95,0.24,0.22,47.5,2.06,0.12,0.04,0.48,78.57,0.56,0.2,30.0,8.34,0.08,60.0,3.73,1.99,0.04,0.04,0.0,0.0
D. Charles,Huddersfield Town,Huddersfield Town,CF,"CF, AMF, RW",England League One 2025-26,30.0,750000,30/06/2027,no,1333,45.15,46.52,47.0,0.0,57.79,39.82,0.14,0.28,34.78,3.17,0.47,0.09,0.54,50.0,2.3,0.14,5.41,2.5,0.0,60.0,3.92,4.39,0.0,0.0,0.0,0.0
J. Matt,Walsall,Walsall,CF,CF,England League Two 2025-26,36.0,75000,30/06/2026,no,1074,41.85,26.48,22.5,69.69,52.79,39.62,0.17,0.26,30.77,3.02,0.17,0.05,0.59,40.0,0.42,0.0,36.84,15.92,0.08,60.98,3.85,3.44,0.0,0.0,0.0,0.0
G. Miller,Cheltenham Town,Cheltenham Town,CF,CF,England League Two 2025-26,27.0,150000,,no,1525,49.82,24.33,44.07,43.6,24.77,39.55,0.24,0.21,50.0,2.89,0.18,0.05,0.47,58.82,1.0,0.24,26.42,9.38,0.06,53.33,2.3,1.77,0.0,0.0,0.0,0.0
B. Sharp,Doncaster Rovers,Doncaster Rovers,CF,CF,England League One 2025-26,40.0,200000,30/06/2026,no,1866,43.81,26.17,45.07,36.55,47.9,39.05,0.14,0.27,35.29,3.04,0.19,0.05,0.53,61.29,1.5,0.1,30.0,4.82,0.0,68.89,2.75,2.17,0.0,0.0,0.0,0.05
J. Muldoon,Harrogate Town,Harrogate Town,CF,"CF, AMF",England League Two 2025-26,36.0,75000,30/06/2026,no,1883,46.64,27.65,34.07,40.53,51.08,39.05,0.24,0.16,68.75,1.63,0.29,0.04,0.43,41.38,1.39,0.1,23.93,7.79,0.1,62.12,3.63,3.15,0.0,0.0,0.0,0.0
D. Rose,Barrow,Barrow,CF,"CF, AMF",England League Two 2025-26,32.0,175000,30/06/2027,no,1778,39.98,24.5,25.9,73.14,45.17,38.52,0.2,0.25,32.0,2.63,0.25,0.02,0.51,37.5,0.81,0.05,36.62,19.49,0.05,53.23,4.4,3.14,0.0,0.0,0.0,0.05
Matt Phillips,Stevenage,Stevenage,CF,CF,England League One 2025-26,35.0,400000,30/06/2026,no,964,45.91,53.68,39.78,31.31,0.0,38.33,0.09,0.41,33.33,2.52,0.75,0.08,0.28,52.63,1.77,0.0,17.46,11.76,0.0,31.82,2.05,2.05,0.09,0.09,100.0,0.0
S. Palmer-Houlden,Gillingham,Gillingham,CF,"CF, RAMF, LAMF",England League Two 2025-26,21.0,0,30/06/2027,no,1756,46.92,0.0,46.49,46.78,64.65,37.87,0.21,0.27,43.75,2.56,0.0,0.01,0.05,56.52,1.18,0.31,27.19,11.12,0.05,61.97,5.48,3.64,0.0,0.0,0.0,0.0
D. Brown,Port Vale,Port Vale,CF,CF,England League One 2025-26,20.0,0,30/06/2027,yes,635,41.82,41.5,44.87,26.7,30.39,37.42,0.0,0.29,33.33,3.4,0.28,0.14,0.43,61.54,1.84,0.0,19.61,7.23,0.0,50.0,2.83,2.83,0.0,0.0,0.0,0.0
H. Gray,Rotherham United,Rotherham United,CF,"CF, LAMF, AMF",England League One 2025-26,17.0,0,,yes,1355,44.61,34.07,48.27,12.18,50.36,37.4,0.13,0.21,42.86,3.19,0.4,0.05,0.4,48.57,2.32,0.2,9.62,3.45,0.07,57.38,3.52,4.05,0.07,0.0,0.0,0.13
W. Goodwin,Colchester United,Colchester United,CF,CF,England League Two 2025-26,23.0,0,,yes,1039,49.97,13.07,33.93,47.27,49.29,37.34,0.17,0.3,31.58,3.72,0.09,0.01,0.43,44.44,1.56,0.0,31.36,10.22,0.0,56.76,4.33,3.21,0.0,0.0,0.0,0.0
E. Nevitt,Cambridge United,Cambridge United,CF,"CF, AMF",England League Two 2025-26,29.0,225000,31/05/2026,yes,1767,35.36,20.36,40.38,47.53,66.29,36.21,0.1,0.21,20.0,3.62,0.2,0.04,0.31,50.0,1.63,0.1,31.82,7.84,0.05,60.44,5.04,4.63,0.0,0.0,0.0,0.0
Ronan Hale,Gillingham,Gillingham,CF,"CF, LAMF",England League Two 2025-26,27.0,300000,30/06/2028,no,1440,46.76,25.11,55.1,4.43,52.04,36.2,0.19,0.3,32.56,3.13,0.13,0.03,0.75,55.36,3.5,0.0,6.06,2.06,0.06,64.0,3.44,3.13,0.06,0.06,100.0,0.06
B. Lubala,Stevenage,Stevenage,CF,"CF, RAMF, LAMF",England League One 2025-26,28.0,225000,,no,1079,36.58,6.78,47.71,48.0,66.6,34.9,0.0,0.11,56.25,2.67,0.08,0.01,0.17,56.67,2.5,0.0,34.34,8.26,0.0,53.85,5.59,5.42,0.0,0.0,0.0,0.0
E. List,Northampton Town,Northampton Town,CF,"CF, RWF, RW",England League One 2025-26,28.0,125000,30/06/2027,no,1276,28.44,16.73,65.7,22.7,73.4,34.23,0.07,0.19,26.92,2.54,0.14,0.03,0.35,57.5,2.82,0.49,19.18,5.15,0.0,65.15,5.29,4.66,0.0,0.0,0.0,0.0
L. Flower,Woking,Crawley Town,CF,"CF, LWB",England League Two 2025-26,21.0,0,30/06/2026,yes,522,61.55,9.01,45.09,27.97,3.74,33.78,0.34,0.27,58.33,2.93,0.0,0.0,0.52,58.33,2.07,0.0,21.62,6.38,0.0,27.78,2.41,3.1,0.0,0.0,0.0,0.0
J. Collins,Lincoln City,Lincoln City,CF,CF,England League One 2025-26,35.0,175000,30/06/2027,no,1113,50.62,33.39,14.62,37.1,40.45,33.76,0.16,0.38,45.45,2.26,0.16,0.08,0.73,20.0,0.4,0.08,29.17,5.82,0.0,48.78,4.29,3.32,0.0,0.0,0.0,0.0
Fábio Tavares,Burton Albion,Burton Albion,CF,"CF, AMF",England League One 2025-26,25.0,250000,30/06/2026,no,981,52.69,28.11,39.75,14.31,25.48,33.36,0.28,0.23,53.85,2.66,0.18,0.05,0.64,53.33,1.38,0.09,9.76,3.76,0.09,46.15,3.21,2.39,0.18,0.0,0.0,0.55
F. Cavegn,Bristol Rovers,Bristol Rovers,CF,CF,England League Two 2025-26,23.0,0,30/06/2028,no,2972,50.32,21.88,37.01,13.04,52.92,33.24,0.27,0.23,51.16,2.57,0.18,0.05,0.36,39.06,1.94,0.09,15.38,2.36,0.0,66.07,2.91,3.39,0.0,0.0,0.0,0.0
J. Arron Yates,Sheffield Wednesday,Luton Town,CF,CF,England League One 2025-26,29.0,3500000,30/06/2026,yes,1241,41.83,20.09,39.71,34.73,44.82,32.62,0.07,0.23,46.67,2.68,0.22,0.0,0.51,63.64,0.8,0.07,29.03,4.5,0.0,60.98,2.97,2.97,0.0,0.0,0.0,0.07
W. Davies,Fleetwood Town,Fleetwood Town,CF,CF,England League Two 2025-26,26.0,0,30/06/2027,no,2387,48.03,16.53,35.18,44.17,23.3,32.28,0.23,0.29,41.46,2.6,0.11,0.03,0.41,50.0,1.06,0.08,31.74,6.3,0.04,47.14,2.38,2.64,0.0,0.0,0.0,0.0
K. Tshimanga,Barnet,Barnet,CF,CF,England League Two 2025-26,28.0,150000,30/06/2027,no,2865,57.46,23.51,36.68,11.03,22.2,32.14,0.31,0.33,50.0,2.58,0.22,0.03,0.47,63.64,0.69,0.0,11.27,4.46,0.0,49.35,1.98,2.42,0.0,0.0,0.0,0.03
B. Assombalonga,Barnet,Barnet,CF,"CF, AMF",England League Two 2025-26,33.0,0,30/06/2026,no,604,49.91,13.67,40.29,39.12,18.98,32.13,0.15,0.29,38.46,3.43,0.0,0.02,0.6,33.33,1.34,0.45,31.43,5.22,0.0,50.0,1.64,2.09,0.0,0.0,0.0,0.0
D. Orsi,Crawley Town,AFC Wimbledon,CF,CF,England League One 2025-26,29.0,225000,30/06/2028,no,755,50.26,9.56,38.19,24.13,50.92,31.82,0.24,0.32,50.0,2.03,0.0,0.01,0.48,62.5,0.95,0.0,20.0,5.36,0.0,60.0,3.58,3.58,0.0,0.0,0.0,0.0
C. Saydee,Wigan Athletic,Wigan Athletic,CF,"CF, AMF",England League One 2025-26,23.0,300000,30/06/2028,no,2426,24.87,51.19,38.59,32.51,43.04,31.8,0.07,0.14,26.32,2.52,0.41,0.13,0.63,42.86,1.82,0.11,20.44,8.35,0.04,54.76,3.75,3.12,0.0,0.0,0.0,0.0
T. Cursons,Boston United,Harrogate Town,CF,"CF, AMF",England League Two 2025-26,24.0,0,30/06/2027,no,540,35.55,23.95,28.55,44.82,58.66,31.24,0.33,0.17,33.33,2.0,0.17,0.02,0.67,37.5,1.33,0.0,24.42,14.33,0.0,65.0,4.17,3.33,0.0,0.0,0.0,0.0
S. Cox,Exeter City,Exeter City,CF,"CF, AMF",England League One 2025-26,21.0,0,30/06/2026,no,912,42.53,34.59,28.29,25.14,40.02,30.71,0.1,0.24,37.5,3.16,0.3,0.06,0.59,33.33,1.18,0.1,22.5,3.95,0.0,37.74,4.44,5.23,0.0,0.0,0.0,0.0
J. Crole,Newport County,Newport County,CF,CF,England League Two 2025-26,22.0,0,30/06/2028,no,908,34.86,36.76,28.37,48.26,22.45,29.76,0.1,0.11,54.55,2.08,0.3,0.12,0.3,33.33,1.19,0.1,27.08,14.27,0.0,36.11,3.47,3.57,0.0,0.0,0.0,0.0
J. Ironside,Tranmere Rovers,Tranmere Rovers,CF,CF,England League Two 2025-26,32.0,275000,30/06/2028,no,2579,34.31,15.36,20.12,80.31,34.23,29.52,0.1,0.17,50.0,1.81,0.07,0.03,0.45,27.78,0.63,0.07,45.44,17.59,0.03,53.33,3.59,2.09,0.0,0.0,0.0,0.0
B. Fink,Wycombe Wanderers,Wycombe Wanderers,CF,CF,England League One 2025-26,22.0,700000,30/06/2026,no,463,41.7,41.79,24.26,28.83,23.5,29.35,0.0,0.32,25.0,3.69,0.19,0.12,0.78,28.57,1.36,0.0,18.37,9.52,0.0,42.11,2.33,3.69,0.0,0.0,0.0,0.0
J. Bickerstaff,Cheltenham Town,Cheltenham Town,CF,"CF, LW",England League Two 2025-26,24.0,125000,30/06/2026,yes,2927,34.18,21.49,45.83,23.24,54.87,29.2,0.12,0.16,34.29,2.83,0.12,0.03,0.61,46.84,2.43,0.12,21.09,3.94,0.0,63.03,3.57,3.66,0.0,0.0,0.0,0.0
E. Acquah,Harrogate Town,Harrogate Town,CF,CF,England League Two 2025-26,25.0,325000,31/05/2028,yes,1286,21.02,26.19,41.18,54.56,53.24,29.09,0.0,0.13,35.29,1.82,0.21,0.06,0.42,46.15,1.82,0.14,33.89,12.6,0.0,69.7,3.36,2.31,0.0,0.0,0.0,0.0
C. Baker-Richardson,Newport County,Newport County,CF,CF,England League Two 2025-26,30.0,250000,30/06/2026,no,1667,37.89,5.32,40.2,64.85,21.52,28.92,0.22,0.25,31.03,2.32,0.0,0.03,0.16,75.0,0.22,0.05,38.77,14.9,0.0,41.86,3.46,2.32,0.0,0.0,0.0,0.0
T. Bradshaw,Barnsley,Barnsley,CF,CF,England League One 2025-26,33.0,600000,31/05/2026,yes,646,43.76,9.19,23.39,59.31,32.52,28.45,0.14,0.38,23.08,2.93,0.14,0.01,0.14,33.33,0.42,0.14,37.36,12.68,0.0,61.54,1.95,1.81,0.0,0.0,0.0,0.0
S. McCoulsky,Harrogate Town,Harrogate Town,CF,CF,England League Two 2025-26,29.0,0,30/06/2027,no,1372,25.35,16.56,46.67,65.13,25.27,28.15,0.07,0.18,28.57,2.1,0.26,0.02,0.13,66.67,0.98,0.2,35.98,17.32,0.0,41.67,3.28,3.15,0.0,0.0,0.0,0.0
G. Yahyai,Stevenage,Stevenage,CF,CF,England League One 2025-26,25.0,325000,30/06/2028,yes,544,47.28,14.27,16.81,61.15,17.44,27.91,0.17,0.28,57.14,1.82,0.17,0.03,0.17,25.0,0.66,0.0,32.11,18.03,0.0,41.67,3.14,1.99,0.0,0.0,0.0,0.0
C. Caton,Hartlepool United,Accrington Stanley,CF,"CF, AMF",England League Two 2025-26,23.0,0,30/06/2027,yes,1068,35.5,9.99,46.34,55.17,15.51,27.61,0.25,0.27,22.22,2.28,0.08,0.02,0.25,62.5,0.67,0.34,27.56,10.7,0.17,40.63,2.28,2.7,0.25,0.08,0.0,0.0
A. Thibaut,Crewe Alexandra,Crewe Alexandra,CF,CF,England League Two 2025-26,21.0,0,,no,728,32.82,43.35,31.89,14.2,47.89,27.49,0.12,0.23,30.0,2.35,0.37,0.13,0.37,36.36,1.36,0.12,9.68,7.66,0.0,56.67,3.59,3.71,0.0,0.0,0.0,0.0
M. Reindorf,Tamworth,Newport County,CF,"CF, LAMF, LW",England League Two 2025-26,20.0,0,31/05/2026,yes,999,24.37,13.82,53.25,31.72,62.62,26.61,0.0,0.14,43.75,1.62,0.09,0.04,0.27,46.15,3.51,0.09,25.86,5.23,0.0,61.54,4.14,4.68,0.0,0.0,0.0,0.0
T. Walker,Barrow,Barrow,CF,CF,England League Two 2025-26,29.0,200000,30/06/2026,no,947,36.01,8.21,39.95,43.16,41.39,26.41,0.19,0.18,44.44,1.9,0.0,0.03,0.29,75.0,0.38,0.0,28.57,9.98,0.0,59.26,3.14,2.57,0.0,0.0,0.0,0.0
D. Taylor,Blackpool,Blackpool,CF,CF,England League One 2025-26,22.0,750000,30/06/2029,no,799,29.41,25.61,47.85,21.51,35.86,24.5,0.11,0.19,28.57,2.37,0.11,0.07,0.56,52.38,2.37,0.11,15.87,7.1,0.0,57.14,2.82,2.37,0.0,0.0,0.0,0.0
G. Lloyd,Shrewsbury Town,Shrewsbury Town,CF,CF,England League Two 2025-26,26.0,0,,no,2516,26.5,12.42,31.16,48.04,63.73,24.1,0.14,0.13,38.46,1.68,0.11,0.02,0.29,44.83,1.04,0.04,29.67,12.05,0.0,60.17,5.08,4.22,0.0,0.0,0.0,0.0
D. Orsi,Crawley Town,Crawley Town,CF,CF,England League Two 2025-26,29.0,225000,30/06/2028,no,1442,31.36,36.29,31.02,16.73,44.2,23.73,0.0,0.22,41.18,2.06,0.37,0.07,0.44,50.0,0.62,0.06,14.81,5.06,0.0,64.71,3.0,2.12,0.0,0.0,0.0,0.0
A. Gray,Port Vale,Port Vale,CF,CF,England League One 2025-26,34.0,1300000,30/06/2026,no,471,20.26,58.15,30.31,34.53,6.98,22.46,0.0,0.1,33.33,2.1,0.57,0.16,0.38,50.0,0.76,0.0,27.59,5.54,0.0,36.36,2.29,2.1,0.0,0.0,0.0,0.0
D. Udoh,Salford City,Wycombe Wanderers,CF,CF,England League One 2025-26,29.0,300000,30/06/2027,no,557,27.92,39.07,19.59,36.55,34.81,22.11,0.16,0.13,16.67,3.23,0.32,0.05,0.81,33.33,0.48,0.0,24.56,9.21,0.0,56.25,2.59,2.59,0.0,0.0,0.0,0.0
L. Angol,,Cheltenham Town,CF,CF,England League Two 2025-26,31.0,100000,,no,568,14.51,17.78,42.0,54.49,47.65,21.21,0.0,0.06,25.0,2.22,0.16,0.01,0.48,60.0,1.58,0.0,35.71,11.09,0.0,45.16,4.6,4.91,0.16,0.16,0.0,0.0
A. Hackford,AFC Wimbledon,AFC Wimbledon,CF,CF,England League One 2025-26,22.0,500000,30/06/2027,no,959,34.03,10.64,32.93,33.54,41.45,20.9,0.19,0.17,30.77,2.63,0.19,0.01,0.09,45.45,1.03,0.09,26.15,6.1,0.0,65.0,2.72,1.88,0.0,0.0,0.0,0.0
G. Garner,Newport County,Newport County,CF,"CF, LCMF, AMF",England League Two 2025-26,27.0,175000,30/06/2027,no,1380,28.86,34.77,24.47,29.74,32.96,20.73,0.13,0.12,38.1,2.15,0.39,0.06,0.39,27.78,1.17,0.07,22.41,3.78,0.07,45.45,3.39,3.59,0.0,0.0,0.0,0.07
J. Marquis,Shrewsbury Town,Shrewsbury Town,CF,"CF, AMF",England League Two 2025-26,33.0,150000,30/06/2026,no,2401,26.54,16.87,36.03,49.0,24.44,20.66,0.11,0.15,29.63,2.25,0.11,0.02,0.49,50.0,0.9,0.15,33.53,6.48,0.07,47.62,2.77,2.36,0.0,0.0,0.0,0.0
M. O'Mahony,Reading,Reading,CF,CF,England League One 2025-26,21.0,0,,yes,590,38.42,19.69,0.0,45.4,51.68,20.12,0.0,0.26,40.0,2.75,0.15,0.03,0.46,0.0,0.15,0.0,27.5,12.2,0.0,59.09,4.12,3.36,0.0,0.0,0.0,0.0
K. Adom,Burton Albion,Burton Albion,CF,"CF, RWF",England League One 2025-26,24.0,0,30/06/2027,no,486,19.94,14.3,57.6,20.45,47.29,19.74,0.0,0.18,12.5,2.78,0.19,0.02,0.19,55.56,1.67,0.56,19.05,3.89,0.0,52.94,4.81,3.15,0.0,0.0,0.0,0.0
J. Hugill,Rotherham United,Rotherham United,CF,CF,England League One 2025-26,33.0,400000,30/06/2026,no,1716,29.56,15.23,12.7,57.3,31.31,17.03,0.05,0.2,29.63,2.52,0.1,0.04,0.31,18.18,0.58,0.0,33.95,14.21,0.0,60.71,2.26,1.47,0.0,0.0,0.0,0.0
E. Adeyemo,Crawley Town,Crawley Town,CF,CF,England League Two 2025-26,21.0,0,,yes,518,28.06,5.23,23.13,45.13,53.0,16.87,0.17,0.22,22.22,2.08,0.0,0.0,0.35,28.57,1.22,0.0,30.36,9.73,0.0,64.71,3.65,2.95,0.0,0.0,0.0,0.0
C. Stockton,Salford City,Salford City,CF,CF,England League Two 2025-26,32.0,200000,30/06/2026,no,1463,31.3,38.53,14.51,29.49,14.61,16.66,0.18,0.22,25.0,2.28,0.31,0.09,0.55,22.22,0.55,0.0,26.32,3.51,0.0,50.0,1.78,1.23,0.0,0.0,0.0,0.0
I. Cameron,Raith Rovers,Barrow,CF,CF,England League Two 2025-26,25.0,225000,31/05/2026,yes,521,28.02,9.01,21.08,61.25,3.14,12.83,0.0,0.13,22.22,3.63,0.0,0.0,0.52,20.0,0.86,0.17,31.19,18.83,0.0,30.77,2.59,2.25,0.0,0.0,0.0,0.0
K. Hemmings,Barrow,Barrow,CF,CF,England League Two 2025-26,33.0,100000,30/06/2026,no,681,7.24,10.67,38.51,58.84,7.31,6.7,0.0,0.07,16.67,1.72,0.0,0.01,0.53,50.0,0.79,0.26,34.86,14.41,0.0,37.5,2.11,2.11,0.0,0.0,0.0,0.0
L. Moult,Crewe Alexandra,Crewe Alexandra,CF,"CF, AMF",England League Two 2025-26,33.0,150000,30/06/2026,no,466,29.28,10.35,0.32,39.21,5.87,1.15,0.19,0.18,33.33,1.74,0.0,0.0,0.58,0.0,0.19,0.0,26.0,9.66,0.0,40.0,1.55,1.93,0.19,0.19,0.0,0.0
E. Kachunga,Cambridge United,Cambridge United,CF,"CF, AMF",England League Two 2025-26,33.0,150000,30/06/2026,no,649,0.0,10.63,30.73,37.24,43.56,0.0,0.0,0.11,0.0,1.53,0.14,0.02,0.14,50.0,0.28,0.14,23.08,10.82,0.0,58.33,2.91,3.33,0.0,0.0,0.0,0.0
