Player,Team,Team within selected timeframe,Main Position,Position,League,Age,Market value,Contract expires,On loan,Minutes played,Goal Threat Att,Creativity Att,Dribbling Att,Aerial Att,Defending Att,ST Rating,Non-penalty goals per 90,xG per 90,"Shots on target, %",Touches in box per 90,Key passes per 90,xA per 90,Deep completions per 90,"Successful dribbles, %",Dribbles per 90,Accelerations per 90,"Aerial duels won, %",Aerial duels per 90,Head goals per 90,"Defensive duels won, %",Successful defensive actions per 90,Defensive duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90
F. Borini,Salford City,Salford City,CF,"CF, AMF",England League Two 2025-26,35.0,2000000,30/06/2026,no,731,57.19,46.87,38.09,43.45,37.93,52.51,0.37,0.44,36.84,2.22,0.37,0.04,1.11,42.86,1.72,0.12,37.04,3.32,0.0,52.17,3.69,2.83,0.0,0.0,0.0,1.11
W. Swan,Bradford City,Bradford City,CF,"CF, AMF",England League One 2025-26,25.0,250000,30/06/2027,no,1274,65.44,54.32,37.46,33.81,6.64,51.93,0.35,0.34,36.0,4.31,0.49,0.1,0.78,46.67,1.06,0.21,25.25,6.99,0.0,31.71,2.33,2.9,0.0,0.0,0.0,0.0
O. Palmer,Swindon Town,Swindon Town,CF,"CF, AMF",England League Two 2025-26,34.0,125000,30/06/2027,no,2513,48.52,35.17,37.42,78.02,37.69,51.88,0.21,0.31,40.0,2.69,0.32,0.06,0.57,38.18,1.97,0.11,49.85,12.21,0.04,55.41,3.19,2.65,0.0,0.0,0.0,0.0
J. Beesley,Burton Albion,Burton Albion,CF,CF,England League One 2025-26,29.0,300000,30/06/2027,no,4024,55.33,32.39,21.45,73.19,58.22,51.82,0.22,0.37,39.47,3.09,0.27,0.06,0.56,30.56,0.81,0.02,40.64,15.41,0.07,63.33,5.1,2.68,0.0,0.0,0.0,0.0
D. Keillor-Dunn,Wrexham,Barnsley,CF,"CF, LAMF",England League One 2025-26,28.0,750000,30/06/2029,no,2197,70.24,32.21,46.36,23.87,30.15,51.75,0.53,0.32,52.73,3.15,0.29,0.03,0.7,73.91,0.94,0.08,20.9,2.74,0.04,53.49,3.2,1.76,0.12,0.08,100.0,0.2
L. Bonis,Chesterfield,Chesterfield,CF,CF,England League Two 2025-26,26.0,300000,30/06/2026,no,2686,69.49,29.12,23.11,55.27,36.54,51.42,0.3,0.41,51.79,3.45,0.23,0.05,0.57,37.5,0.54,0.03,34.64,11.12,0.03,50.0,3.48,3.22,0.0,0.0,0.0,0.0
C. Kavanagh,Oldham Athletic,Oldham Athletic,CF,"CF, AMF",England League Two 2025-26,22.0,225000,30/06/2028,no,706,64.89,49.68,23.88,19.1,62.43,51.09,0.25,0.3,60.0,3.44,0.38,0.09,0.89,23.08,1.66,0.0,15.91,5.61,0.0,65.52,4.33,3.7,0.0,0.0,0.0,0.0
F. Okoronkwo,Doncaster Rovers,Doncaster Rovers,CF,"CF, LAMF, LW",England League One 2025-26,21.0,0,30/06/2026,yes,577,34.09,38.06,46.04,57.59,90.01,50.84,0.31,0.18,23.08,2.5,0.16,0.08,0.94,43.75,2.5,0.16,33.33,7.95,0.16,57.89,8.27,5.93,0.0,0.0,0.0,0.0
M. Forss,Bolton Wanderers,Bolton Wanderers,CF,"CF, AMF, RAMF",England League One 2025-26,26.0,2800000,30/06/2026,yes,886,55.41,49.8,48.68,9.34,58.19,50.69,0.2,0.22,42.11,4.27,0.41,0.06,1.02,60.0,2.03,0.1,12.5,2.44,0.0,62.5,4.67,3.25,0.0,0.0,0.0,0.0
V. Adeboyejo,Mansfield Town,Mansfield Town,CF,CF,England League One 2025-26,28.0,850000,30/06/2026,no,649,56.21,44.85,36.04,26.72,61.43,50.14,0.14,0.35,50.0,3.05,0.55,0.09,0.28,66.67,0.42,0.0,20.0,6.93,0.0,68.18,4.3,3.05,0.0,0.0,0.0,0.0
J. Garner,Oldham Athletic,Oldham Athletic,CF,CF,England League Two 2025-26,38.0,0,30/06/2026,no,1127,34.6,45.07,32.33,89.59,49.57,50.11,0.24,0.22,29.17,2.16,0.24,0.06,1.2,57.14,0.56,0.0,31.35,25.47,0.24,49.02,5.03,4.07,0.0,0.0,0.0,0.0
N. Opoku,Newport County,Newport County,CF,CF,England League Two 2025-26,24.0,0,30/06/2027,yes,1616,59.87,40.03,41.6,38.59,27.86,49.87,0.33,0.31,52.0,2.84,0.22,0.08,0.89,52.0,1.39,0.17,22.83,7.07,0.11,46.55,2.67,3.23,0.0,0.0,0.0,0.0
O. Oseni,Plymouth Argyle,Plymouth Argyle,CF,"CF, AMF",England League One 2025-26,22.0,0,30/06/2028,no,1181,64.24,25.27,50.59,32.29,33.14,49.79,0.38,0.32,63.16,2.36,0.3,0.04,0.3,61.54,1.98,0.15,24.18,6.93,0.0,48.65,3.58,2.82,0.0,0.0,0.0,0.0
S. Tovide,Colchester United,Colchester United,CF,"CF, RAMF",England League Two 2025-26,22.0,375000,30/06/2027,no,2230,45.76,59.19,51.11,31.34,29.07,49.56,0.12,0.25,38.46,3.35,0.52,0.1,0.93,49.28,2.78,0.16,24.2,6.34,0.0,48.53,2.99,2.74,0.0,0.0,0.0,0.0
O. Hawkins,Barnet,Barnet,CF,CF,England League Two 2025-26,34.0,75000,,no,1141,50.14,32.54,25.48,90.65,28.98,49.5,0.24,0.27,36.84,3.31,0.32,0.02,0.71,50.0,0.16,0.0,48.56,19.17,0.08,50.0,3.23,2.21,0.0,0.0,0.0,0.0
W. Evans,Mansfield Town,Mansfield Town,CF,"CF, LAMF",England League One 2025-26,28.0,0,30/06/2026,no,2995,58.65,35.02,33.95,29.41,68.66,49.41,0.24,0.41,40.0,3.07,0.36,0.04,0.6,42.11,1.14,0.15,23.23,5.95,0.0,58.06,5.89,4.66,0.0,0.0,0.0,0.0
J. Marriott,Reading,Reading,CF,CF,England League One 2025-26,31.0,500000,30/06/2028,no,1905,78.05,31.39,30.75,18.67,29.76,49.28,0.76,0.3,57.14,2.98,0.24,0.07,0.52,45.0,0.94,0.05,14.0,4.72,0.05,55.26,2.74,1.8,0.0,0.0,0.0,0.0
O. Devonport,Fleetwood Town U21,Fleetwood Town,CF,CF,England League Two 2025-26,21.0,0,30/06/2026,no,461,44.42,36.56,35.54,77.34,39.56,49.28,0.0,0.29,22.22,4.49,0.2,0.08,0.78,44.44,1.76,0.0,40.0,21.48,0.0,60.0,3.32,1.95,0.0,0.0,0.0,0.0
M. Dinanga,Bromley,Bromley,CF,CF,England League Two 2025-26,28.0,0,30/06/2026,no,669,71.51,38.87,39.24,24.17,12.28,49.24,0.13,0.39,61.54,4.04,0.4,0.02,0.81,62.5,1.08,0.0,13.51,4.98,0.13,46.15,1.61,1.75,0.0,0.0,0.0,0.0
M. Sherif,Port Vale,Port Vale,CF,CF,England League One 2025-26,19.0,0,30/06/2026,yes,930,61.45,15.18,28.12,58.68,64.71,49.12,0.29,0.47,38.46,2.81,0.19,0.04,0.1,33.33,1.16,0.1,37.6,12.1,0.0,54.55,5.23,5.32,0.0,0.0,0.0,0.0
J. Gordon,Barrow,Barrow,CF,"CF, AMF",England League Two 2025-26,31.0,125000,30/06/2026,yes,2426,52.17,13.58,43.48,44.31,90.76,49.04,0.22,0.34,41.51,2.78,0.07,0.03,0.37,60.87,1.71,0.0,27.23,8.72,0.07,64.63,6.9,6.08,0.0,0.0,0.0,0.0
J. Woods,Accrington Stanley,Accrington Stanley,CF,CF,England League Two 2025-26,25.0,0,30/06/2027,no,1804,35.65,21.25,52.25,64.84,83.4,48.77,0.1,0.26,27.5,2.74,0.2,0.04,0.35,67.5,2.0,0.1,35.47,13.22,0.1,62.16,6.69,5.54,0.05,0.05,0.0,0.0
H. Leonard,Peterborough United,Peterborough United,CF,CF,England League One 2025-26,22.0,1000000,30/06/2029,no,2615,72.35,30.56,29.4,48.37,5.8,48.6,0.41,0.5,47.3,2.86,0.31,0.05,0.45,46.15,0.89,0.0,31.84,6.16,0.1,38.78,2.03,1.69,0.03,0.03,0.0,0.0
M. Asamoah,Shamrock Rovers,Wigan Athletic,CF,CF,England League One 2025-26,23.0,0,30/06/2027,yes,569,40.04,36.8,73.8,31.28,41.6,48.31,0.16,0.26,40.0,2.21,0.32,0.11,0.32,54.55,3.48,0.63,26.92,4.11,0.0,52.17,3.48,3.64,0.0,0.0,0.0,0.0
N. Lowe,Wycombe Wanderers,Wycombe Wanderers,CF,"CF, AMF",England League One 2025-26,20.0,0,30/06/2028,yes,1580,69.09,14.27,31.71,60.1,24.39,48.02,0.4,0.37,52.78,3.19,0.17,0.03,0.17,43.75,0.91,0.11,32.06,7.46,0.23,47.62,2.73,2.39,0.0,0.0,0.0,0.0
J. Soonsup-Bell,Grimsby Town,Grimsby Town,CF,"CF, LW",England League Two 2025-26,22.0,250000,30/06/2026,no,775,42.17,33.54,40.57,53.69,69.52,47.58,0.12,0.24,23.53,3.95,0.12,0.1,0.7,50.0,1.16,0.23,33.33,7.32,0.12,70.0,4.88,3.48,0.35,0.12,0.0,0.46
J. Wareham,Exeter City,Exeter City,CF,CF,England League One 2025-26,22.0,100000,30/06/2027,no,3452,66.36,14.56,30.75,58.4,34.23,47.37,0.42,0.38,44.05,3.23,0.13,0.02,0.34,56.25,0.42,0.0,33.18,11.16,0.1,45.07,3.57,3.7,0.0,0.0,0.0,0.0
Kion Etete,St. Mirren,Rotherham United,CF,CF,England League One 2025-26,24.0,1200000,31/05/2027,yes,484,46.38,26.42,45.13,53.37,58.11,47.17,0.0,0.28,50.0,2.98,0.37,0.04,0.19,50.0,2.6,0.0,35.71,10.41,0.0,61.11,4.83,3.35,0.0,0.0,0.0,0.0
J. Andrews,Gillingham,Gillingham,CF,CF,England League Two 2025-26,24.0,225000,,no,2107,47.56,26.1,24.06,98.02,28.78,46.99,0.13,0.3,35.42,3.33,0.13,0.04,0.73,38.46,0.56,0.04,45.29,25.84,0.09,39.24,4.14,3.37,0.0,0.0,0.0,0.0
C. Woodrow,Wycombe Wanderers,Wycombe Wanderers,CF,"CF, AMF",England League One 2025-26,31.0,1000000,30/06/2026,yes,2779,54.83,40.32,27.16,54.61,30.25,46.35,0.23,0.36,45.0,2.69,0.36,0.08,0.58,41.67,0.78,0.03,32.39,6.9,0.16,49.37,3.21,2.56,0.19,0.03,0.0,0.45
J. Vale,Northampton Town,Northampton Town,CF,CF,England League One 2025-26,25.0,500000,30/06/2026,no,791,16.3,90.64,45.81,27.41,67.52,46.27,0.0,0.1,12.5,2.96,0.91,0.13,1.25,72.73,1.25,0.0,15.0,11.38,0.0,57.5,5.92,4.55,0.0,0.0,0.0,0.0
Tom Bloxham,Blackpool,Blackpool,CF,"CF, RW",England League One 2025-26,22.0,325000,30/06/2028,no,2475,41.82,39.93,61.59,30.61,42.61,46.15,0.22,0.21,42.11,2.44,0.4,0.08,0.47,69.84,2.29,0.29,27.0,3.64,0.0,57.32,3.31,2.98,0.0,0.0,0.0,0.0
T. Eaves,Northampton Town,Northampton Town,CF,CF,England League One 2025-26,34.0,300000,30/06/2026,no,1846,56.21,14.78,29.98,67.33,48.79,45.81,0.34,0.31,44.12,2.83,0.1,0.04,0.29,44.44,0.88,0.05,36.14,9.85,0.2,62.26,3.8,2.58,0.0,0.0,0.0,0.0
H. McKirdy,Crawley Town,Crawley Town,CF,"CF, AMF",England League Two 2025-26,29.0,20000,30/06/2026,no,2281,59.13,36.64,49.22,12.21,38.77,45.76,0.24,0.4,42.65,3.04,0.28,0.1,0.47,52.94,2.01,0.24,13.33,1.78,0.04,54.65,2.76,3.39,0.04,0.04,100.0,0.24
B. Waine,Port Vale,Port Vale,CF,"CF, LW",England League One 2025-26,24.0,800000,30/06/2027,no,1004,40.2,30.56,49.47,41.17,72.64,45.65,0.27,0.2,40.91,2.15,0.36,0.06,0.27,42.86,1.88,0.45,27.27,5.92,0.09,60.34,5.56,5.2,0.0,0.0,0.0,0.0
A. Pressley,Walsall,Walsall,CF,CF,England League Two 2025-26,24.0,175000,30/06/2028,no,2461,45.15,19.37,33.86,80.53,47.65,45.24,0.26,0.23,40.0,2.67,0.15,0.02,0.51,41.38,1.06,0.18,43.52,15.8,0.11,68.63,3.07,1.87,0.0,0.0,0.0,0.0
M. Browne,AFC Wimbledon,AFC Wimbledon,CF,"CF, AMF",England League One 2025-26,28.0,175000,30/06/2027,no,2743,49.26,31.14,46.11,41.3,42.49,44.96,0.39,0.32,32.88,2.33,0.33,0.05,0.43,52.24,2.2,0.1,31.79,4.95,0.03,47.57,4.82,3.38,0.23,0.23,28.57,0.0
J. Reid,Stevenage,Stevenage,CF,CF,England League One 2025-26,31.0,300000,,no,3177,60.75,22.33,40.87,35.09,37.48,44.56,0.25,0.37,50.0,2.97,0.23,0.06,0.2,43.48,1.95,0.14,25.96,5.89,0.03,62.5,2.61,1.81,0.0,0.0,0.0,0.0
M. Stevens,AFC Wimbledon,AFC Wimbledon,CF,CF,England League One 2025-26,28.0,175000,30/06/2027,no,1653,54.75,24.83,38.98,45.47,40.4,44.33,0.27,0.48,37.93,1.96,0.27,0.06,0.22,62.5,0.44,0.16,22.92,13.77,0.05,52.83,3.92,2.89,0.0,0.0,0.0,0.0
K. Kouassi,Cambridge United,Cambridge United,CF,CF,England League Two 2025-26,22.0,200000,30/06/2026,yes,920,39.53,34.33,38.22,61.78,50.57,44.12,0.2,0.13,44.44,2.74,0.2,0.08,0.68,42.11,1.86,0.1,31.28,19.08,0.0,55.88,4.6,3.33,0.0,0.0,0.0,0.0
J. Magennis,Exeter City,Exeter City,CF,CF,England League One 2025-26,35.0,150000,30/06/2026,no,1707,46.65,28.62,29.27,83.83,20.76,43.91,0.26,0.21,50.0,2.37,0.16,0.07,0.58,50.0,0.63,0.0,48.84,11.34,0.16,50.0,2.69,1.37,0.05,0.05,0.0,0.0
S. Hogan,Milton Keynes Dons,Milton Keynes Dons,CF,"CF, AMF",England League Two 2025-26,34.0,600000,30/06/2026,no,634,56.41,20.92,45.89,45.28,25.68,43.76,0.14,0.23,60.0,3.41,0.14,0.07,0.28,55.56,1.28,0.28,29.33,10.65,0.0,53.85,2.27,1.85,0.0,0.0,0.0,0.0
